"Customer code","Customer ship to","Order","CPO DATE","Customer Requested Date","fixed Y","Qty","","Customer Part no","Currency","Ship Method","CPO DATE ","","","fixed 1","" 
"3","IMCT-SR_FG_SHIP","EDFN233164","10112015","12112015","Y","Order Type","","898052-9400","THB","Road","10112015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_FG_SHIP","EDFN233165","11112015","13112015","Y","Order Type","","898052-9400","THB","Road","11112015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_FG_SHIP","EDFN233166","11112015","13112015","Y","Order Type","","898052-9400","THB","Road","11112015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_FG_SHIP","EDFN233167","11112015","13112015","Y","Order Type","","898052-9400","THB","Road","11112015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_FG_SHIP","EDFN233168","11112015","13112015","Y","Order Type","","898052-9400","THB","Road","11112015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_FG_SHIP","EDFN233169","11112015","13112015","Y","Order Type","","898052-9410","THB","Road","11112015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_FG_SHIP","EDFN233170","11112015","13112015","Y","Order Type","","898052-9410","THB","Road","11112015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_FG_SHIP","EDFN233171","11112015","13112015","Y","Order Type","","898052-9410","THB","Road","11112015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_FG_SHIP","EDFN233172","11112015","13112015","Y","Order Type","","898052-9420","THB","Road","11112015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_FG_SHIP","EDFN233173","11112015","13112015","Y","Order Type","","898052-9420","THB","Road","11112015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_FG_SHIP","EDFN233174","11112015","13112015","Y","Order Type","","898064-7040","THB","Road","11112015","","","1","FTTL_FG_DOMESTIC" 
"3","IMCT-SR_FG_SHIP","EDFN233175","11112015","13112015","Y","Order Type","","898064-7040","THB","Road","11112015","","","1","FTTL_FG_DOMESTIC" 
"3","IMCT-SR_FG_SHIP","EDFN233176","11112015","13112015","Y","Order Type","","898241-3562","THB","Road","11112015","","","1","FTTL_FG_DOMESTIC" 
"3","IMCT-SR_FG_SHIP","EDFN233177","10112015","12112015","Y","Order Type","","898241-3572","THB","Road","10112015","","","1","FTTL_FG_DOMESTIC" 
"3","IMCT-SR_FG_SHIP","EDFN233178","11112015","13112015","Y","Order Type","","898241-3582","THB","Road","11112015","","","1","FTTL_FG_DOMESTIC" 
"3","IMCT-SR_FG_SHIP","EDFN233179","11112015","13112015","Y","Order Type","","898243-6012","THB","Road","11112015","","","1","FTTL_FG_DOMESTIC" 
