"Customer code","Customer ship to","Order","CPO DATE","Customer Requested Date","fixed Y","Qty","","Customer Part no","Currency","Ship Method","CPO DATE ","","","fixed 1","order_type" 
"3","IMCT-SR_FG_SHIP","DUFN211478","08112015","10112015","Y","Order Type","","898064-7040","THB","Road","08112015","","","1","FTTL_FG_DOMESTIC" 
"3","IMCT-SR_FG_SHIP","DUFN211479","08112015","10112015","Y","Order Type","","898064-7040","THB","Road","08112015","","","1","FTTL_FG_DOMESTIC" 
"3","IMCT-SR_FG_SHIP","DUFN211480","08112015","10112015","Y","Order Type","","898064-7040","THB","Road","08112015","","","1","FTTL_FG_DOMESTIC" 
"3","IMCT-SR_FG_SHIP","EDFN213903","07112015","09112015","Y","Order Type","","898052-9370","THB","Road","07112015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_FG_SHIP","EDFN213904","08112015","10112015","Y","Order Type","","898052-9370","THB","Road","08112015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_FG_SHIP","EDFN213905","08112015","10112015","Y","Order Type","","898052-9370","THB","Road","08112015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_FG_SHIP","EDFN213906","08112015","10112015","Y","Order Type","","898052-9370","THB","Road","08112015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_FG_SHIP","EDFN213907","08112015","10112015","Y","Order Type","","898052-9370","THB","Road","08112015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_FG_SHIP","EDFN213908","08112015","10112015","Y","Order Type","","898052-9400","THB","Road","08112015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_FG_SHIP","EDFN213909","08112015","10112015","Y","Order Type","","898052-9400","THB","Road","08112015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_FG_SHIP","EDFN213910","08112015","10112015","Y","Order Type","","898052-9400","THB","Road","08112015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_FG_SHIP","EDFN213911","08112015","10112015","Y","Order Type","","898052-9410","THB","Road","08112015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_FG_SHIP","EDFN213912","08112015","10112015","Y","Order Type","","898052-9420","THB","Road","08112015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_FG_SHIP","EDFN213913","08112015","10112015","Y","Order Type","","898064-7040","THB","Road","08112015","","","1","FTTL_FG_DOMESTIC" 
"3","IMCT-SR_FG_SHIP","EDFN213914","08112015","10112015","Y","Order Type","","898241-3562","THB","Road","08112015","","","1","FTTL_FG_DOMESTIC" 
"3","IMCT-SR_FG_SHIP","EDFN213915","08112015","10112015","Y","Order Type","","898241-3572","THB","Road","08112015","","","1","FTTL_FG_DOMESTIC" 
"3","IMCT-SR_FG_SHIP","EDFN213916","08112015","10112015","Y","Order Type","","898243-6022","THB","Road","08112015","","","1","FTTL_FG_DOMESTIC" 
