D6FN224635	8982521790	20151113	30	G5	3	900	GW
D6FN224636	8982521790	20151113	30	G5	3	1100	GW
D6FN224637	8982807010	20151112	60	G9	4	1530	GW
D6FN224638	8982807010	20151112	60	G9	4	2100	GW
D6FN224639	8982807010	20151112	60	G9	4	2300	GW
D6FN224640	8982807010	20151113	60	G9	4	200	GW
D6FN224641	8982807010	20151113	60	G9	4	330	GW
D6FN224642	8982807010	20151113	120	G9	4	900	GW
D6FN224643	8982807010	20151113	60	G9	4	1100	GW
D6FN224644	8982807010	20151113	60	G9	4	1400	GW
D6FN224645	8982807010	20151113	60	G9	4	1530	GW
D6FN224646	8982807020	20151112	60	G9	5	2300	GW
D6FN224647	8982807020	20151113	60	G9	5	200	GW
D6FN224648	8982807030	20151112	60	G9	15	1530	GW
D6FN224649	8982807030	20151112	60	G9	15	2100	GW
D6FN224650	8982807030	20151112	60	G9	15	2300	GW
D6FN224651	8982807030	20151113	60	G9	15	200	GW
D6FN224652	8982807030	20151113	60	G9	15	330	GW
D6FN224653	8982807030	20151113	120	G9	15	900	GW
D6FN224654	8982807030	20151113	60	G9	15	1100	GW
D6FN224655	8982807030	20151113	60	G9	15	1400	GW
D6FN224656	8982807030	20151113	60	G9	15	1530	GW
D6FN224657	8983122830	20151112	30	G9	3	1530	GW
D6FN224658	8983122830	20151112	30	G9	3	2100	GW
D6FN224659	8983122830	20151113	30	G9	3	330	GW
D6FN224660	8983122830	20151113	30	G9	3	900	GW
D6FN224661	8983122830	20151113	30	G9	3	1400	GW
D6FN224662	8983122830	20151113	30	G9	3	1530	GW
D6FN224663	8983122840	20151113	30	G9	3	200	GW
