14|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9593|2020010707|07/01/2020|15:33|07/01/2020|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|07/01/2020|20:35|08/01/2020|00:30||3|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|07/01/2020|15:33|07/01/2020|11:23|07/01/2020|11:23||07/01/2020|07:30|0701|2|F1||
15|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9593|2020010707|07/01/2020|15:33|07/01/2020|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|07/01/2020|20:35|08/01/2020|00:30||4|86100-0K145-00|RECEIVER ASSY RADIO & NAVIGATION|F790|IP1  - A08|4|4|1||F|07/01/2020|15:33|07/01/2020|11:23|07/01/2020|11:23||07/01/2020|07:30|0701|2|F1||
16|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9594|2020010708|07/01/2020|15:33|07/01/2020|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|07/01/2020|20:35|08/01/2020|02:25||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|24|6||F|07/01/2020|15:33|07/01/2020|11:23|07/01/2020|11:23||07/01/2020|07:30|0701|2|F1||
17|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9594|2020010708|07/01/2020|15:33|07/01/2020|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|07/01/2020|20:35|08/01/2020|02:25||2|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|8|2||F|07/01/2020|15:33|07/01/2020|11:23|07/01/2020|11:23||07/01/2020|07:30|0701|2|F1||
18|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9594|2020010708|07/01/2020|15:33|07/01/2020|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|07/01/2020|20:35|08/01/2020|02:25||3|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|8|2||F|07/01/2020|15:33|07/01/2020|11:23|07/01/2020|11:23||07/01/2020|07:30|0701|2|F1||
19|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9594|2020010708|07/01/2020|15:33|07/01/2020|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|07/01/2020|20:35|08/01/2020|02:25||4|86100-0K145-00|RECEIVER ASSY RADIO & NAVIGATION|F790|IP1  - A08|4|8|2||F|07/01/2020|15:33|07/01/2020|11:23|07/01/2020|11:23||07/01/2020|07:30|0701|2|F1||
20|FTTL|A|DENSO TEN (THAILAND) Limited.|B|BANGPAKONG|BN|1|1B FTTLABNA2212|2020010801|08/01/2020|09:13|08/01/2020|13:22|PSF|11|ED06|01|||||||||||||PSF-11|722E-B-PK|08/01/2020|13:22|08/01/2020|15:13||1|89040-0K030-00|SIREN ASSY  THEFT WARNING|I257|DIRECT|10|20|2||Z|08/01/2020|09:13|07/01/2020|13:13|07/01/2020|13:13||07/01/2020|07:30|0801|||CB2|
21|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8513|2020010801|07/01/2020|09:10|07/01/2020|17:05|PPA1|04|CD16|01|||||||||||||PPA1-04|722F-P-P1|07/01/2020|17:05|08/01/2020|09:25||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|44|11||F|07/01/2020|09:10|07/01/2020|03:15|07/01/2020|03:15||06/01/2020|07:30|0801|2|F1||
22|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8513|2020010801|07/01/2020|09:10|07/01/2020|17:05|PPA1|04|CD16|01|||||||||||||PPA1-04|722F-P-P1|07/01/2020|17:05|08/01/2020|09:25||2|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|SA.R -  12|4|4|1||F|07/01/2020|09:10|07/01/2020|03:15|07/01/2020|03:15||06/01/2020|07:30|0801|2|F1||
23|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8513|2020010801|07/01/2020|09:10|07/01/2020|17:05|PPA1|04|CD16|01|||||||||||||PPA1-04|722F-P-P1|07/01/2020|17:05|08/01/2020|09:25||3|86140-0KA70-00|RECEIVER ASSY  RADIO & DISPLAY|H704|SA.R -  12|4|4|1||F|07/01/2020|09:10|07/01/2020|03:15|07/01/2020|03:15||06/01/2020|07:30|0801|2|F1||
