TNTH__1O00006,IMCT,SPTISM,15-Oct-21,TNTH,1,897537-9230,PWI-004TH,111135-0010A101,,1M9B486700,1,1,,,
TNTH__1O00007,IMCT,SPIMIT,15-Oct-21,TNTH,1,897670-4830,CMI-036TH,134000-9990A101,,2M9A585200,1,1,,,
TNTH__1O00007,IMCT,SPIMIT,15-Oct-21,TNTH,2,898396-3160,PWI-003TH,111140-05300101,,2M9A441500,2,2,,,
