ASN201601208,GM,GGA0,21-Jan-16,FTTL,09:20,1,52029686,G-6TH,,123001-3140C101,RADIO ASM-AM/FM,GGA0,45,9,,,,,
ASN201601224,GM,GGA0,21-Jan-16,FTTL,09:20,1,52029707,G-12TH,,123001-3190C101,RADIO ASM-AM/FM,GGA0,12,6,,,,,
ASN201601209,GM,GGA2,21-Jan-16,FTTL,09:20,1,52033621,"6.5"" Tweeter",,153000-22800101,"Speaker 6.5"" Tweeter",GGA2,720,48,,,,,
ASN201601210,GM,GGA1,21-Jan-16,FTTL,09:20,1,52033623,16cm full,,153000-23200101,Speaker with inductor,GGA1,240,48,,,,,
ASN201601210,GM,GGA1,21-Jan-16,FTTL,09:20,2,52033625,"6""x 9""",,153000-22900101,"Speaker 6""x9"" 4W Full Range",GGA1,360,120,,,,,
ASN201601225,GM,GGA0,21-Jan-16,FTTL,09:20,1,52029686,G-6TH,,123001-3140C101,RADIO ASM-AM/FM,GGA0,10,2,,,,,
ASN201601226,GM,GGA0,22-Jan-16,FTTL,09:20,1,52029686,G-6TH,,123001-3140C101,RADIO ASM-AM/FM,GGA0,30,6,,,,,
ASN201601226,GM,GGA0,22-Jan-16,FTTL,09:20,1,52029707,G-12TH,,123001-3190C101,RADIO ASM-AM/FM,GGA0,12,6,,,,,
ASN201601227,GM,GGA2,22-Jan-16,FTTL,09:20,1,52033621,"6.5"" Tweeter",,153000-22800101,"Speaker 6.5"" Tweeter",GGA2,720,48,,,,,
ASN201601228,GM,GGA1,22-Jan-16,FTTL,09:20,1,52033623,16cm full,,153000-23200101,Speaker with inductor,GGA1,480,96,,,,,
ASN201601228,GM,GGA1,22-Jan-16,FTTL,09:20,2,52033625,"6""x 9""",,153000-22900101,"Speaker 6""x9"" 4W Full Range",GGA1,432,144,,,,,
