FTTL__7600010,IMCT,SPTISM,17-Jul-17,FTTL,1,898052-9370,"6 x 9"" Full (Fr)",153000-04700101,,1H6B312100,2,2
FTTL__7700002,IMCT,SPIMIT,17-Jul-17,FTTL,1,898280-7010,"6""x9"" Front",153000-29700101 ,,2H6A705900,1,1
FTTL__7700003,IMCT,SPIMIT,17-Jul-17,FTTL,1,898291-0011,I-117TH,139001-56410101,,2H6A715600,4,4
FTTL__7700006,IMCT,SPIMIT,17-Jul-17,FTTL,1,898241-3583,I-42TH ,123001-5340C101 ,,2H6A715900,7,7
FTTL__7700008,IMCT,SPIMIT,17-Jul-17,FTTL,1,898241-3583,I-42TH ,123001-5340C101 ,,2H6A715900,20,20
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,, ,,,,,,
