1|FTTL|A|DENSO TEN (THAILAND) Limited.|B|BANGPAKONG|BN|1|1B FTTLABNA1734|2018021201|12/02/2018|20:45|13/02/2018|01:45|PSF|23|ED06|04|||||||||||||PSF-23|722E-B-PK|13/02/2018|01:45|13/02/2018|03:13||1|89040-0K010-00|SIREN ASSY  THEFT WARNING|H681|T1-09-C4|10|20|2||F|12/02/2018|20:45|12/02/2018|15:45|12/02/2018|15:45||12/02/2018|07:30|1202|||CB2|
2|FTTL|A|DENSO TEN (THAILAND) Limited.|G|GATEWAY|OG|1|1G FTTLAOGA0304|2018021202|12/02/2018|13:24|12/02/2018|20:53|GD05|03|GD05|03|||||||||||||GD05-03||12/02/2018|20:53||||1|PC600-0D01G-00|MANUAL  OWNERS RADIO|29A6|BN   -  27|10|10|1|||12/02/2018|13:24|12/02/2018|07:24|12/02/2018|07:24||09/02/2018|07:30|1202||||
3|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B5930|2018021203|12/02/2018|15:31|12/02/2018|21:00|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|12/02/2018|21:00|12/02/2018|22:51||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|48|12|||12/02/2018|15:31|12/02/2018|09:36|12/02/2018|09:36||12/02/2018|07:30|1202||||
4|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B5930|2018021203|12/02/2018|15:31|12/02/2018|21:00|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|12/02/2018|21:00|12/02/2018|22:51||2|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|A4.SA- R11|4|4|1|||12/02/2018|15:31|12/02/2018|09:36|12/02/2018|09:36||12/02/2018|07:30|1202||||
5|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B5930|2018021203|12/02/2018|15:31|12/02/2018|21:00|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|12/02/2018|21:00|12/02/2018|22:51||3|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|A4.SA- R11|4|4|1|||12/02/2018|15:31|12/02/2018|09:36|12/02/2018|09:36||12/02/2018|07:30|1202||||
6|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B5930|2018021203|12/02/2018|15:31|12/02/2018|21:00|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|12/02/2018|21:00|12/02/2018|22:51||4|86140-0K620-00|RECEIVER ASSY  RADIO & DISPLAY|H714|A4.SA- R11|4|4|1|||12/02/2018|15:31|12/02/2018|09:36|12/02/2018|09:36||12/02/2018|07:30|1202||||
7|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B5930|2018021203|12/02/2018|15:31|12/02/2018|21:00|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|12/02/2018|21:00|12/02/2018|22:51||5|86100-0K143-00|RECEIVER ASSY  RADIO & NAVIGATION|U803|A5.SA- R10|4|4|1|||12/02/2018|15:31|12/02/2018|09:36|12/02/2018|09:36||12/02/2018|07:30|1202||||
8|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B5930|2018021203|12/02/2018|15:31|12/02/2018|21:00|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|12/02/2018|21:00|12/02/2018|22:51||6|86120-0KA41-00|RECEIVER ASSY  RADIO|K049|A5.SA- R10|4|4|1|||12/02/2018|15:31|12/02/2018|09:36|12/02/2018|09:36||12/02/2018|07:30|1202||||
9|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B5930|2018021203|12/02/2018|15:31|12/02/2018|21:00|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|12/02/2018|21:00|12/02/2018|22:51||7|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|A5.SA- R10|4|4|1|||12/02/2018|15:31|12/02/2018|09:36|12/02/2018|09:36||12/02/2018|07:30|1202||||
10|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B5931|2018021204|12/02/2018|15:31|12/02/2018|21:00|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|12/02/2018|21:00|13/02/2018|03:51||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|16|4|||12/02/2018|15:31|12/02/2018|09:36|12/02/2018|09:36||12/02/2018|07:30|1202||||
