14|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9071|2019092707|27/09/2019|15:33|27/09/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|27/09/2019|20:35|28/09/2019|01:15||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|27/09/2019|15:33|27/09/2019|11:23|27/09/2019|11:23||27/09/2019|07:30|2709||F1||
15|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9071|2019092707|27/09/2019|15:33|27/09/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|27/09/2019|20:35|28/09/2019|01:15||5|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|4|1||F|27/09/2019|15:33|27/09/2019|11:23|27/09/2019|11:23||27/09/2019|07:30|2709||F1||
16|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9072|2019092708|27/09/2019|15:33|27/09/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|27/09/2019|20:35|28/09/2019|03:42||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|32|8||F|27/09/2019|15:33|27/09/2019|11:23|27/09/2019|11:23||27/09/2019|07:30|2709||F1||
17|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9072|2019092708|27/09/2019|15:33|27/09/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|27/09/2019|20:35|28/09/2019|03:42||2|86120-0KA50-00|RECEIVER ASSY RADIO|A796|IP1  - A07|4|4|1||F|27/09/2019|15:33|27/09/2019|11:23|27/09/2019|11:23||27/09/2019|07:30|2709||F1||
18|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9072|2019092708|27/09/2019|15:33|27/09/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|27/09/2019|20:35|28/09/2019|03:42||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|4|1||F|27/09/2019|15:33|27/09/2019|11:23|27/09/2019|11:23||27/09/2019|07:30|2709||F1||
19|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9072|2019092708|27/09/2019|15:33|27/09/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|27/09/2019|20:35|28/09/2019|03:42||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|27/09/2019|15:33|27/09/2019|11:23|27/09/2019|11:23||27/09/2019|07:30|2709||F1||
20|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9072|2019092708|27/09/2019|15:33|27/09/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|27/09/2019|20:35|28/09/2019|03:42||5|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|4|1||F|27/09/2019|15:33|27/09/2019|11:23|27/09/2019|11:23||27/09/2019|07:30|2709||F1||
21|FTTL|A|DENSO TEN (THAILAND) Limited.|B|BANGPAKONG|BN|1|1B FTTLABNA2149|2019093001|30/09/2019|13:09|30/09/2019|15:39|PSF|13|ED06|01|||||||||||||PSF-13|722E-B-PK|30/09/2019|15:39|30/09/2019|19:30||1|89040-0K030-00|SIREN ASSY  THEFT WARNING|I257|DIRECT|10|40|4||Z|30/09/2019|13:09|27/09/2019|17:09|27/09/2019|17:09||27/09/2019|07:30|3009|||CB2|
22|FTTL|A|DENSO TEN (THAILAND) Limited.|B|BANGPAKONG|BN|1|1B FTTLABNA2149|2019093001|30/09/2019|13:09|30/09/2019|15:39|PSF|13|ED06|01|||||||||||||PSF-13|722E-B-PK|30/09/2019|15:39|30/09/2019|19:30||2|89040-0K010-00|SIREN ASSY  THEFT WARNING|H681|L2-02-34|10|10|1||E|30/09/2019|13:09|27/09/2019|17:09|27/09/2019|17:09||27/09/2019|07:30|3009|||CB2|
23|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8243|2019093001|27/09/2019|15:53|27/09/2019|21:06|PPA1|02|CD16|02|||||||||||||PPA1-02|722F-P-P1|27/09/2019|21:06|30/09/2019|08:13||1|86100-0K144-00|RECEIVER ASSY  RADIO & NAVIGATION|B036|SA.R -  12|4|4|1||F|27/09/2019|15:53|27/09/2019|09:58|27/09/2019|09:58||27/09/2019|07:30|3009|2|F1||
