14|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6392|2018071203|12/07/2018|15:35|12/07/2018|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|12/07/2018|21:06|12/07/2018|22:51||6|86100-0K143-00|RECEIVER ASSY  RADIO & NAVIGATION|U803|A5.SA- R10|4|4|1|||12/07/2018|15:35|12/07/2018|09:40|12/07/2018|09:40||12/07/2018|07:30|1207||||
15|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6392|2018071203|12/07/2018|15:35|12/07/2018|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|12/07/2018|21:06|12/07/2018|22:51||7|86100-0K213-00|RECEIVER ASSY  RADIO & NAVIGATION|U804|A5.SA- R10|4|4|1|||12/07/2018|15:35|12/07/2018|09:40|12/07/2018|09:40||12/07/2018|07:30|1207||||
16|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6392|2018071203|12/07/2018|15:35|12/07/2018|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|12/07/2018|21:06|12/07/2018|22:51||8|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|A5.SA- R10|4|8|2|||12/07/2018|15:35|12/07/2018|09:40|12/07/2018|09:40||12/07/2018|07:30|1207||||
17|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6675|2018071203|12/07/2018|04:23|12/07/2018|08:35|PSA|09|PD02|01|||||||||||||PSA-09|722B-S-S1|12/07/2018|08:35|12/07/2018|14:56||1|86100-0K143-00|RECEIVER ASSY RADIO & NAVIGATION|E453|IP1  - A07|4|16|4||0|12/07/2018|04:23|12/07/2018|00:13|12/07/2018|00:13||11/07/2018|07:30|1207||||
18|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6675|2018071203|12/07/2018|04:23|12/07/2018|08:35|PSA|09|PD02|01|||||||||||||PSA-09|722B-S-S1|12/07/2018|08:35|12/07/2018|14:56||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||0|12/07/2018|04:23|12/07/2018|00:13|12/07/2018|00:13||11/07/2018|07:30|1207||||
19|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6675|2018071203|12/07/2018|04:23|12/07/2018|08:35|PSA|09|PD02|01|||||||||||||PSA-09|722B-S-S1|12/07/2018|08:35|12/07/2018|14:56||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|16|4||0|12/07/2018|04:23|12/07/2018|00:13|12/07/2018|00:13||11/07/2018|07:30|1207||||
20|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6675|2018071203|12/07/2018|04:23|12/07/2018|08:35|PSA|09|PD02|01|||||||||||||PSA-09|722B-S-S1|12/07/2018|08:35|12/07/2018|14:56||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|8|2||0|12/07/2018|04:23|12/07/2018|00:13|12/07/2018|00:13||11/07/2018|07:30|1207||||
21|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6675|2018071203|12/07/2018|04:23|12/07/2018|08:35|PSA|09|PD02|01|||||||||||||PSA-09|722B-S-S1|12/07/2018|08:35|12/07/2018|14:56||5|86120-0KA00-00|RECEIVER ASSY RADIO|A792|PC   -DIRE|4|28|7|||12/07/2018|04:23|12/07/2018|00:13|12/07/2018|00:13||11/07/2018|07:30|1207||||
22|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6393|2018071204|12/07/2018|15:35|12/07/2018|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|12/07/2018|21:06|13/07/2018|03:51||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|44|11|||12/07/2018|15:35|12/07/2018|09:40|12/07/2018|09:40||12/07/2018|07:30|1207||||
23|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6393|2018071204|12/07/2018|15:35|12/07/2018|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|12/07/2018|21:06|13/07/2018|03:51||2|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|A4.SA- R11|4|4|1|||12/07/2018|15:35|12/07/2018|09:40|12/07/2018|09:40||12/07/2018|07:30|1207||||
