1|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|B|BANGPAKONG|BN|1|1B FTTLABNA1531|2016122301|23/12/2016|20:50|24/12/2016|01:15|PSF|23|ED06|04|||||||||||||PSF-23|722E-B-PK|24/12/2016|01:15|24/12/2016|03:13||1|89040-0K010-00|SIREN ASSY  THEFT WARNING|H681|L1-04-A4|10|30|3||V|23/12/2016|20:50|23/12/2016|15:50|23/12/2016|15:50||23/12/2016|07:30|2312|||CB2|
2|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|OB|1|1P FTTLAOBA0530|2016122301|23/12/2016|13:40|23/12/2016|21:10|CD16|02|CD16|02|||||||||||||CD16-02||23/12/2016|21:10||||1|PZ071-00A39-1C|RECEIVER ASSY  RADIO|J742|A4.SA- R11|4|8|2|||23/12/2016|13:40|23/12/2016|07:45|23/12/2016|07:45||22/12/2016|07:30|2312||||
3|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4324|2016122305|23/12/2016|09:05|23/12/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|23/12/2016|15:45|23/12/2016|22:13||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|A    - 09.|4|40|10||B|23/12/2016|09:05|23/12/2016|04:55|23/12/2016|04:55||22/12/2016|07:30|2312||||
4|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4324|2016122305|23/12/2016|09:05|23/12/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|23/12/2016|15:45|23/12/2016|22:13||2|86100-0K142-00|RECEIVER ASSY RADIO & NAVIGATION|D860|IP1  - A03|4|4|1||B|23/12/2016|09:05|23/12/2016|04:55|23/12/2016|04:55||22/12/2016|07:30|2312||||
5|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4324|2016122305|23/12/2016|09:05|23/12/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|23/12/2016|15:45|23/12/2016|22:13||3|86120-0KA41-00|RECEIVER ASSY RADIO|D885|IP1  - A03|4|4|1||B|23/12/2016|09:05|23/12/2016|04:55|23/12/2016|04:55||22/12/2016|07:30|2312||||
6|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4324|2016122305|23/12/2016|09:05|23/12/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|23/12/2016|15:45|23/12/2016|22:13||4|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1. - A08|4|4|1||B|23/12/2016|09:05|23/12/2016|04:55|23/12/2016|04:55||22/12/2016|07:30|2312||||
7|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4324|2016122305|23/12/2016|09:05|23/12/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|23/12/2016|15:45|23/12/2016|22:13||5|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1. - A08|4|12|3||B|23/12/2016|09:05|23/12/2016|04:55|23/12/2016|04:55||22/12/2016|07:30|2312||||
8|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4324|2016122305|23/12/2016|09:05|23/12/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|23/12/2016|15:45|23/12/2016|22:13||6|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1. - A08|4|8|2||B|23/12/2016|09:05|23/12/2016|04:55|23/12/2016|04:55||22/12/2016|07:30|2312||||
9|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4574|2016122306|23/12/2016|13:40|23/12/2016|21:10|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|23/12/2016|21:10|23/12/2016|23:01||1|86100-0K142-00|RECEIVER ASSY  RADIO & NAVIGATION|K029|A4.SA- R11|4|4|1||3|23/12/2016|13:40|23/12/2016|07:45|23/12/2016|07:45||22/12/2016|07:30|2312||||
10|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4574|2016122306|23/12/2016|13:40|23/12/2016|21:10|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|23/12/2016|21:10|23/12/2016|23:01||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|36|9||3|23/12/2016|13:40|23/12/2016|07:45|23/12/2016|07:45||22/12/2016|07:30|2312||||
11|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4574|2016122306|23/12/2016|13:40|23/12/2016|21:10|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|23/12/2016|21:10|23/12/2016|23:01||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|A4.SA- R11|4|4|1||3|23/12/2016|13:40|23/12/2016|07:45|23/12/2016|07:45||22/12/2016|07:30|2312||||
12|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4574|2016122306|23/12/2016|13:40|23/12/2016|21:10|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|23/12/2016|21:10|23/12/2016|23:01||4|86120-0KA41-00|RECEIVER ASSY  RADIO|K049|A4.SA- R11|4|4|1||3|23/12/2016|13:40|23/12/2016|07:45|23/12/2016|07:45||22/12/2016|07:30|2312||||
13|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4574|2016122306|23/12/2016|13:40|23/12/2016|21:10|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|23/12/2016|21:10|23/12/2016|23:01||5|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|A4.SA- R11|4|4|1||3|23/12/2016|13:40|23/12/2016|07:45|23/12/2016|07:45||22/12/2016|07:30|2312||||
14|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4574|2016122306|23/12/2016|13:40|23/12/2016|21:10|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|23/12/2016|21:10|23/12/2016|23:01||6|86140-0K620-00|RECEIVER ASSY  RADIO & DISPLAY|H714|A4.SA- R11|4|4|1||3|23/12/2016|13:40|23/12/2016|07:45|23/12/2016|07:45||22/12/2016|07:30|2312||||
15|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4325|2016122306|23/12/2016|09:05|23/12/2016|15:45|PSA|21|SD10|02|||||||||||||PSA-21|722B-S-S1|23/12/2016|15:45|24/12/2016|01:46||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|A    - 09.|4|48|12||B|23/12/2016|09:05|23/12/2016|04:55|23/12/2016|04:55||22/12/2016|07:30|2312||||
16|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4325|2016122306|23/12/2016|09:05|23/12/2016|15:45|PSA|21|SD10|02|||||||||||||PSA-21|722B-S-S1|23/12/2016|15:45|24/12/2016|01:46||2|86100-0K142-00|RECEIVER ASSY RADIO & NAVIGATION|D860|IP1  - A03|4|8|2||B|23/12/2016|09:05|23/12/2016|04:55|23/12/2016|04:55||22/12/2016|07:30|2312||||
17|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4325|2016122306|23/12/2016|09:05|23/12/2016|15:45|PSA|21|SD10|02|||||||||||||PSA-21|722B-S-S1|23/12/2016|15:45|24/12/2016|01:46||3|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1. - A08|4|8|2||B|23/12/2016|09:05|23/12/2016|04:55|23/12/2016|04:55||22/12/2016|07:30|2312||||
18|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4325|2016122306|23/12/2016|09:05|23/12/2016|15:45|PSA|21|SD10|02|||||||||||||PSA-21|722B-S-S1|23/12/2016|15:45|24/12/2016|01:46||4|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1. - A08|4|4|1||B|23/12/2016|09:05|23/12/2016|04:55|23/12/2016|04:55||22/12/2016|07:30|2312||||
19|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4325|2016122306|23/12/2016|09:05|23/12/2016|15:45|PSA|21|SD10|02|||||||||||||PSA-21|722B-S-S1|23/12/2016|15:45|24/12/2016|01:46||5|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1. - A08|4|4|1||B|23/12/2016|09:05|23/12/2016|04:55|23/12/2016|04:55||22/12/2016|07:30|2312||||
20|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4575|2016122307|23/12/2016|13:40|23/12/2016|21:10|PPA1|28|CD16|02|||||||||||||PPA1-28|722F-P-P1|23/12/2016|21:10|24/12/2016|01:56||1|86100-0K142-00|RECEIVER ASSY  RADIO & NAVIGATION|K029|A4.SA- R11|4|4|1||3|23/12/2016|13:40|23/12/2016|07:45|23/12/2016|07:45||22/12/2016|07:30|2312||||
