14|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6965|2018121204|12/12/2018|15:34|12/12/2018|21:06|PPA1|20|CD16|02|||||||||||||PPA1-20|722F-P-P1|12/12/2018|21:06|13/12/2018|01:43||6|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|SA.R -  13|4|8|2||F|12/12/2018|15:34|12/12/2018|09:39|12/12/2018|09:39||12/12/2018|07:30|1212||F1||
15|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6965|2018121204|12/12/2018|15:34|12/12/2018|21:06|PPA1|20|CD16|02|||||||||||||PPA1-20|722F-P-P1|12/12/2018|21:06|13/12/2018|01:43||7|86100-0K102-00|RECEIVER ASSY  RADIO & NAVIGATION|B035|SA.R -  14|4|4|1||F|12/12/2018|15:34|12/12/2018|09:39|12/12/2018|09:39||12/12/2018|07:30|1212||F1||
16|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6965|2018121204|12/12/2018|15:34|12/12/2018|21:06|PPA1|20|CD16|02|||||||||||||PPA1-20|722F-P-P1|12/12/2018|21:06|13/12/2018|01:43||8|86100-0K214-00|RECEIVER ASSY  RADIO & NAVIGATION|B037|SA.R -  14|4|4|1||F|12/12/2018|15:34|12/12/2018|09:39|12/12/2018|09:39||12/12/2018|07:30|1212||F1||
17|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6965|2018121204|12/12/2018|15:34|12/12/2018|21:06|PPA1|20|CD16|02|||||||||||||PPA1-20|722F-P-P1|12/12/2018|21:06|13/12/2018|01:43||9|86120-0KA42-00|RECEIVER ASSY  RADIO|V883|SA.R -  14|4|4|1||F|12/12/2018|15:34|12/12/2018|09:39|12/12/2018|09:39||12/12/2018|07:30|1212||F1||
18|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7437|2018121204|12/12/2018|04:21|12/12/2018|08:35|PSA|10|PD02|01|||||||||||||PSA-10|722B-S-S1|12/12/2018|08:35|12/12/2018|15:20||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|28|7||F|12/12/2018|04:21|12/12/2018|00:11|12/12/2018|00:11||11/12/2018|07:30|1212||||
19|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7437|2018121204|12/12/2018|04:21|12/12/2018|08:35|PSA|10|PD02|01|||||||||||||PSA-10|722B-S-S1|12/12/2018|08:35|12/12/2018|15:20||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||F|12/12/2018|04:21|12/12/2018|00:11|12/12/2018|00:11||11/12/2018|07:30|1212||||
20|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7437|2018121204|12/12/2018|04:21|12/12/2018|08:35|PSA|10|PD02|01|||||||||||||PSA-10|722B-S-S1|12/12/2018|08:35|12/12/2018|15:20||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|4|1||F|12/12/2018|04:21|12/12/2018|00:11|12/12/2018|00:11||11/12/2018|07:30|1212||||
21|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7437|2018121204|12/12/2018|04:21|12/12/2018|08:35|PSA|10|PD02|01|||||||||||||PSA-10|722B-S-S1|12/12/2018|08:35|12/12/2018|15:20||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|8|2||F|12/12/2018|04:21|12/12/2018|00:11|12/12/2018|00:11||11/12/2018|07:30|1212||||
22|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7437|2018121204|12/12/2018|04:21|12/12/2018|08:35|PSA|10|PD02|01|||||||||||||PSA-10|722B-S-S1|12/12/2018|08:35|12/12/2018|15:20||5|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|4|1||F|12/12/2018|04:21|12/12/2018|00:11|12/12/2018|00:11||11/12/2018|07:30|1212||||
23|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7438|2018121205|12/12/2018|04:21|12/12/2018|08:35|PSA|13|PD02|01|||||||||||||PSA-13|722B-S-S1|12/12/2018|08:35|12/12/2018|19:30||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|24|6||F|12/12/2018|04:21|12/12/2018|00:11|12/12/2018|00:11||11/12/2018|07:30|1212||||
24|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7438|2018121205|12/12/2018|04:21|12/12/2018|08:35|PSA|13|PD02|01|||||||||||||PSA-13|722B-S-S1|12/12/2018|08:35|12/12/2018|19:30||2|86120-0KA50-00|RECEIVER ASSY RADIO|A796|IP1  - A07|4|4|1||F|12/12/2018|04:21|12/12/2018|00:11|12/12/2018|00:11||11/12/2018|07:30|1212||||
25|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7438|2018121205|12/12/2018|04:21|12/12/2018|08:35|PSA|13|PD02|01|||||||||||||PSA-13|722B-S-S1|12/12/2018|08:35|12/12/2018|19:30||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|8|2||F|12/12/2018|04:21|12/12/2018|00:11|12/12/2018|00:11||11/12/2018|07:30|1212||||
26|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7438|2018121205|12/12/2018|04:21|12/12/2018|08:35|PSA|13|PD02|01|||||||||||||PSA-13|722B-S-S1|12/12/2018|08:35|12/12/2018|19:30||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|8|2||F|12/12/2018|04:21|12/12/2018|00:11|12/12/2018|00:11||11/12/2018|07:30|1212||||
27|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7438|2018121205|12/12/2018|04:21|12/12/2018|08:35|PSA|13|PD02|01|||||||||||||PSA-13|722B-S-S1|12/12/2018|08:35|12/12/2018|19:30||5|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|4|1||F|12/12/2018|04:21|12/12/2018|00:11|12/12/2018|00:11||11/12/2018|07:30|1212||||
28|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7439|2018121206|12/12/2018|04:21|12/12/2018|08:35|PSA|16|PD02|01|||||||||||||PSA-16|722B-S-S1|12/12/2018|08:35|12/12/2018|21:50||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|48|12||F|12/12/2018|04:21|12/12/2018|00:11|12/12/2018|00:11||11/12/2018|07:30|1212||||
29|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7439|2018121206|12/12/2018|04:21|12/12/2018|08:35|PSA|16|PD02|01|||||||||||||PSA-16|722B-S-S1|12/12/2018|08:35|12/12/2018|21:50||2|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|4|1||F|12/12/2018|04:21|12/12/2018|00:11|12/12/2018|00:11||11/12/2018|07:30|1212||||
30|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7439|2018121206|12/12/2018|04:21|12/12/2018|08:35|PSA|16|PD02|01|||||||||||||PSA-16|722B-S-S1|12/12/2018|08:35|12/12/2018|21:50||3|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|12/12/2018|04:21|12/12/2018|00:11|12/12/2018|00:11||11/12/2018|07:30|1212||||
31|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7439|2018121206|12/12/2018|04:21|12/12/2018|08:35|PSA|16|PD02|01|||||||||||||PSA-16|722B-S-S1|12/12/2018|08:35|12/12/2018|21:50||4|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|16|4||F|12/12/2018|04:21|12/12/2018|00:11|12/12/2018|00:11||11/12/2018|07:30|1212||||
32|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7440|2018121207|12/12/2018|16:08|12/12/2018|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|12/12/2018|20:35|13/12/2018|01:00||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|32|8||F|12/12/2018|16:08|12/12/2018|11:58|12/12/2018|11:58||12/12/2018|07:30|1212||||
33|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7440|2018121207|12/12/2018|16:08|12/12/2018|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|12/12/2018|20:35|13/12/2018|01:00||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||F|12/12/2018|16:08|12/12/2018|11:58|12/12/2018|11:58||12/12/2018|07:30|1212||||
34|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7440|2018121207|12/12/2018|16:08|12/12/2018|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|12/12/2018|20:35|13/12/2018|01:00||3|86120-0KA42-00|RECEIVER ASSY RADIO|F648|IP1  - A07|4|4|1||F|12/12/2018|16:08|12/12/2018|11:58|12/12/2018|11:58||12/12/2018|07:30|1212||||
35|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7440|2018121207|12/12/2018|16:08|12/12/2018|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|12/12/2018|20:35|13/12/2018|01:00||4|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|4|1||F|12/12/2018|16:08|12/12/2018|11:58|12/12/2018|11:58||12/12/2018|07:30|1212||||
36|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7440|2018121207|12/12/2018|16:08|12/12/2018|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|12/12/2018|20:35|13/12/2018|01:00||5|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|8|2||F|12/12/2018|16:08|12/12/2018|11:58|12/12/2018|11:58||12/12/2018|07:30|1212||||
