14|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLBP1A4736|2017062307|23/06/2017|16:55|23/06/2017|19:30|PPA1|20|CB09|03|||||||||||||PPA1-20|722F-P-P1|23/06/2017|19:30|24/06/2017|01:08||1|86160-0K430-00|SPEAKER ASSY  RADIO|I880|B2.SX- L04|16|96|6|||23/06/2017|16:55|23/06/2017|11:00|23/06/2017|11:00||23/06/2017|07:30|2306||||
15|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLBP1A4736|2017062307|23/06/2017|16:55|23/06/2017|19:30|PPA1|20|CB09|03|||||||||||||PPA1-20|722F-P-P1|23/06/2017|19:30|24/06/2017|01:08||2|86160-0K430-00|SPEAKER ASSY  RADIO|I880|C4.SW- R06|16|96|6|||23/06/2017|16:55|23/06/2017|11:00|23/06/2017|11:00||23/06/2017|07:30|2306||||
16|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLBS1A7574|2017062307|23/06/2017|10:10|23/06/2017|12:30|PSA|14|SB04|01|||||||||||||PSA-14|722B-S-S1|23/06/2017|12:30|23/06/2017|20:08||1|86160-0K430-00|SPEAKER ASSY RADIO|D595|DO1  - R11|16|64|4|||23/06/2017|10:10|23/06/2017|06:00|23/06/2017|06:00||22/06/2017|07:30|2306||||
17|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLBS1A7574|2017062307|23/06/2017|10:10|23/06/2017|12:30|PSA|14|SB04|01|||||||||||||PSA-14|722B-S-S1|23/06/2017|12:30|23/06/2017|20:08||2|86160-0K430-00|SPEAKER ASSY RADIO|D595|FN3  - L05|16|32|2|||23/06/2017|10:10|23/06/2017|06:00|23/06/2017|06:00||22/06/2017|07:30|2306||||
18|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLBS1A7574|2017062307|23/06/2017|10:10|23/06/2017|12:30|PSA|14|SB04|01|||||||||||||PSA-14|722B-S-S1|23/06/2017|12:30|23/06/2017|20:08||3|86160-0K430-00|SPEAKER ASSY RADIO|D595|FN3  - R04|16|32|2|||23/06/2017|10:10|23/06/2017|06:00|23/06/2017|06:00||22/06/2017|07:30|2306||||
19|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLBP1A4737|2017062308|23/06/2017|16:55|23/06/2017|19:30|PPA1|23|CB09|03|||||||||||||PPA1-23|722F-P-P1|23/06/2017|19:30|24/06/2017|03:13||1|86160-0K430-00|SPEAKER ASSY  RADIO|I880|B2.SX- L04|16|64|4|||23/06/2017|16:55|23/06/2017|11:00|23/06/2017|11:00||23/06/2017|07:30|2306||||
20|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLBP1A4737|2017062308|23/06/2017|16:55|23/06/2017|19:30|PPA1|23|CB09|03|||||||||||||PPA1-23|722F-P-P1|23/06/2017|19:30|24/06/2017|03:13||2|86160-0K430-00|SPEAKER ASSY  RADIO|I880|C4.SW- R06|16|64|4|||23/06/2017|16:55|23/06/2017|11:00|23/06/2017|11:00||23/06/2017|07:30|2306||||
21|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLBS1A7575|2017062308|23/06/2017|10:10|23/06/2017|12:30|PSA|16|SB04|01|||||||||||||PSA-16|722B-S-S1|23/06/2017|12:30|23/06/2017|21:25||1|86160-0K430-00|SPEAKER ASSY RADIO|D595|DO1  - R11|16|128|8|||23/06/2017|10:10|23/06/2017|06:00|23/06/2017|06:00||22/06/2017|07:30|2306||||
22|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLBS1A7575|2017062308|23/06/2017|10:10|23/06/2017|12:30|PSA|16|SB04|01|||||||||||||PSA-16|722B-S-S1|23/06/2017|12:30|23/06/2017|21:25||2|86160-0K430-00|SPEAKER ASSY RADIO|D595|FN3  - L05|16|32|2|||23/06/2017|10:10|23/06/2017|06:00|23/06/2017|06:00||22/06/2017|07:30|2306||||
23|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLBS1A7575|2017062308|23/06/2017|10:10|23/06/2017|12:30|PSA|16|SB04|01|||||||||||||PSA-16|722B-S-S1|23/06/2017|12:30|23/06/2017|21:25||3|86160-0K430-00|SPEAKER ASSY RADIO|D595|FN3  - R04|16|32|2|||23/06/2017|10:10|23/06/2017|06:00|23/06/2017|06:00||22/06/2017|07:30|2306||||
