TNTH__3N00012,IMCT,SPTISM,8-Dec-23,TNTH,1,897480-5112,CCI-001TH,123001-7740D101,,1PNB349700,1,1,,,
TNTH__3N00012,IMCT,SPTISM,8-Dec-23,TNTH,2,898396-2911,PWI-001TH,161114-0160A101,,1PNB767700,3,3,,,
TNTH__3N00012,IMCT,SPTISM,8-Dec-23,TNTH,3,898396-3161,PWI-003TH,111140-05310101,,1PNB413900,2,2,,,
TNTH__3N00012,IMCT,SPTISM,8-Dec-23,TNTH,4,898396-3161,PWI-003TH,111140-05310101,,1PNB767900,2,2,,,
TNTH__3N00013,IMCT,SPIMIT,8-Dec-23,TNTH,1,897528-4510,I-125TH,114001-0540A101,,2PNA430100,1,1,,,
TNTH__3N00013,IMCT,SPIMIT,8-Dec-23,TNTH,2,898280-7010,"6""x9"" Front",153000-29700101,,2PNA395600,25,25,,,
TNTH__3N00013,IMCT,SPIMIT,8-Dec-23,TNTH,3,898280-7030,6.5 Tweeter,153000-29600101,,2PNA543900,1,1,,,
TNTH__3N00013,IMCT,SPIMIT,8-Dec-23,TNTH,4,898396-2737,CMI-011TH,111000-7752C101,,2PNA551300,1,1,,,
TNTH__3N00013,IMCT,SPIMIT,8-Dec-23,TNTH,5,898396-2911,PWI-001TH,161114-0160A101,,2PNA490100,2,2,,,
TNTH__3N00013,IMCT,SPIMIT,8-Dec-23,TNTH,6,898396-3161,PWI-003TH,111140-05310101,,2PNA490200,8,8,,,
