TNTH__1900013,IMCT,SPTISM,4-Oct-21,TNTH,1,898280-7020,16 cm. RR ,153000-29800101,,1M9A649800,3,3,,,
TNTH__1900014,IMCT,SPIMKD,4-Oct-21,TNTH,1,897534-9402,CMI-013TH,134000-97810101,,7M9A017000,2,2,,,
TNTH__1900014,IMCT,SPIMKD,4-Oct-21,TNTH,2,898396-2911,PWI-001TH,161114-0160A101,,7M9A021200,2,2,,,
