1|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|B|BANGPAKONG|BN|1|1B FTTLABNA1669|2017110601|06/11/2017|20:55|07/11/2017|02:00|PSF|24|ED06|04|||||||||||||PSF-24|722E-B-PK|07/11/2017|02:00|07/11/2017|03:51||1|89040-0K010-00|SIREN ASSY  THEFT WARNING|H681|L1-08-C4|10|10|1||G|06/11/2017|20:55|06/11/2017|15:55|06/11/2017|15:55||06/11/2017|07:30|0611|||CB2|
2|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|OG|1|1G FTTLAOGA0226|2017110601|06/11/2017|13:42|06/11/2017|21:55|GD05|03|GD05|03|||||||||||||GD05-03||06/11/2017|21:55||||1|PC600-0D01D-00|RECEIVER ASSY  RADIO&DISPLAY|29A5|..ZK -  05|3|12|4|||06/11/2017|13:42|06/11/2017|07:42|06/11/2017|07:42||06/11/2017|07:30|0611||||
3|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|OG|1|1G FTTLAOGA0226|2017110601|06/11/2017|13:42|06/11/2017|21:55|GD05|03|GD05|03|||||||||||||GD05-03||06/11/2017|21:55||||2|PC600-0D01G-00|MANUAL  OWNERS RADIO|29A6|CS   -  17|10|10|1|||06/11/2017|13:42|06/11/2017|07:42|06/11/2017|07:42||06/11/2017|07:30|0611||||
4|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5576|2017110603|06/11/2017|13:17|06/11/2017|20:00|PPA1|17|CD16|02|||||||||||||PPA1-17|722F-P-P1|06/11/2017|20:00|06/11/2017|22:13||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|36|9|||06/11/2017|13:17|06/11/2017|07:22|06/11/2017|07:22||03/11/2017|07:30|0611||||
5|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5576|2017110603|06/11/2017|13:17|06/11/2017|20:00|PPA1|17|CD16|02|||||||||||||PPA1-17|722F-P-P1|06/11/2017|20:00|06/11/2017|22:13||2|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|A4.SA- R11|4|16|4|||06/11/2017|13:17|06/11/2017|07:22|06/11/2017|07:22||03/11/2017|07:30|0611||||
6|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5576|2017110603|06/11/2017|13:17|06/11/2017|20:00|PPA1|17|CD16|02|||||||||||||PPA1-17|722F-P-P1|06/11/2017|20:00|06/11/2017|22:13||3|86120-0KC40-00|RECEIVER ASSY  RADIO|H561|A4.SA- R11|4|4|1|||06/11/2017|13:17|06/11/2017|07:22|06/11/2017|07:22||03/11/2017|07:30|0611||||
7|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5576|2017110603|06/11/2017|13:17|06/11/2017|20:00|PPA1|17|CD16|02|||||||||||||PPA1-17|722F-P-P1|06/11/2017|20:00|06/11/2017|22:13||4|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|A4.SA- R11|4|4|1|||06/11/2017|13:17|06/11/2017|07:22|06/11/2017|07:22||03/11/2017|07:30|0611||||
8|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5576|2017110603|06/11/2017|13:17|06/11/2017|20:00|PPA1|17|CD16|02|||||||||||||PPA1-17|722F-P-P1|06/11/2017|20:00|06/11/2017|22:13||5|86140-0K620-00|RECEIVER ASSY  RADIO & DISPLAY|H714|A4.SA- R11|4|4|1|||06/11/2017|13:17|06/11/2017|07:22|06/11/2017|07:22||03/11/2017|07:30|0611||||
9|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5576|2017110603|06/11/2017|13:17|06/11/2017|20:00|PPA1|17|CD16|02|||||||||||||PPA1-17|722F-P-P1|06/11/2017|20:00|06/11/2017|22:13||6|86100-0K101-00|RECEIVER ASSY  RADIO & NAVIGATION|U805|A5.SA- R10|4|4|1|||06/11/2017|13:17|06/11/2017|07:22|06/11/2017|07:22||03/11/2017|07:30|0611||||
10|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5576|2017110603|06/11/2017|13:17|06/11/2017|20:00|PPA1|17|CD16|02|||||||||||||PPA1-17|722F-P-P1|06/11/2017|20:00|06/11/2017|22:13||7|86120-0KA41-00|RECEIVER ASSY  RADIO|K049|A5.SA- R10|4|4|1|||06/11/2017|13:17|06/11/2017|07:22|06/11/2017|07:22||03/11/2017|07:30|0611||||
11|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5576|2017110603|06/11/2017|13:17|06/11/2017|20:00|PPA1|17|CD16|02|||||||||||||PPA1-17|722F-P-P1|06/11/2017|20:00|06/11/2017|22:13||8|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|A5.SA- R10|4|4|1|||06/11/2017|13:17|06/11/2017|07:22|06/11/2017|07:22||03/11/2017|07:30|0611||||
12|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5576|2017110603|06/11/2017|13:17|06/11/2017|20:00|PPA1|17|CD16|02|||||||||||||PPA1-17|722F-P-P1|06/11/2017|20:00|06/11/2017|22:13||9|89040-0K030-00|SIREN ASSY  THEFT WARNING|U365|T4.SW- R06|16|16|1|||06/11/2017|13:17|06/11/2017|07:22|06/11/2017|07:22||03/11/2017|07:30|0611||||
13|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5577|2017110604|06/11/2017|13:17|06/11/2017|20:00|PPA1|23|CD16|02|||||||||||||PPA1-23|722F-P-P1|06/11/2017|20:00|07/11/2017|03:13||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|16|4|||06/11/2017|13:17|06/11/2017|07:22|06/11/2017|07:22||03/11/2017|07:30|0611||||
14|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5577|2017110604|06/11/2017|13:17|06/11/2017|20:00|PPA1|23|CD16|02|||||||||||||PPA1-23|722F-P-P1|06/11/2017|20:00|07/11/2017|03:13||2|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|A4.SA- R11|4|12|3|||06/11/2017|13:17|06/11/2017|07:22|06/11/2017|07:22||03/11/2017|07:30|0611||||
15|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5577|2017110604|06/11/2017|13:17|06/11/2017|20:00|PPA1|23|CD16|02|||||||||||||PPA1-23|722F-P-P1|06/11/2017|20:00|07/11/2017|03:13||3|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|A4.SA- R11|4|4|1|||06/11/2017|13:17|06/11/2017|07:22|06/11/2017|07:22||03/11/2017|07:30|0611||||
16|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5577|2017110604|06/11/2017|13:17|06/11/2017|20:00|PPA1|23|CD16|02|||||||||||||PPA1-23|722F-P-P1|06/11/2017|20:00|07/11/2017|03:13||4|86140-0K620-00|RECEIVER ASSY  RADIO & DISPLAY|H714|A4.SA- R11|4|12|3|||06/11/2017|13:17|06/11/2017|07:22|06/11/2017|07:22||03/11/2017|07:30|0611||||
17|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5577|2017110604|06/11/2017|13:17|06/11/2017|20:00|PPA1|23|CD16|02|||||||||||||PPA1-23|722F-P-P1|06/11/2017|20:00|07/11/2017|03:13||5|86100-0K213-00|RECEIVER ASSY  RADIO & NAVIGATION|U804|A5.SA- R10|4|4|1|||06/11/2017|13:17|06/11/2017|07:22|06/11/2017|07:22||03/11/2017|07:30|0611||||
18|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5577|2017110604|06/11/2017|13:17|06/11/2017|20:00|PPA1|23|CD16|02|||||||||||||PPA1-23|722F-P-P1|06/11/2017|20:00|07/11/2017|03:13||6|86120-0KA41-00|RECEIVER ASSY  RADIO|K049|A5.SA- R10|4|4|1|||06/11/2017|13:17|06/11/2017|07:22|06/11/2017|07:22||03/11/2017|07:30|0611||||
19|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B5638|2017110606|06/11/2017|16:50|06/11/2017|22:40|PSA|21|SD11|06|||||||||||||PSA-21|722B-S-S1|06/11/2017|22:40|07/11/2017|02:26||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|A    - 05.|4|16|4|||06/11/2017|16:50|06/11/2017|12:40|06/11/2017|12:40||06/11/2017|07:30|0611||||
