1|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|OB|1|1P FTTLAOBA0471|2016090801|08/09/2016|08:35|08/09/2016|13:45|CD16|01|CD16|01|||||||||||||CD16-01||08/09/2016|13:45||||1|PZ071-00A39-1C|RECEIVER ASSY  RADIO|J742|A4.SA- R11|4|4|1|||08/09/2016|08:35|08/09/2016|02:40|08/09/2016|02:40||07/09/2016|07:30|0809||||
2|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B3896|2016090803|08/09/2016|09:05|08/09/2016|15:45|PSA|16|SD10|02|||||||||||||PSA-16|722B-S-S1|08/09/2016|15:45|08/09/2016|21:25||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|A    - 09.|4|40|10||7|08/09/2016|09:05|08/09/2016|04:55|08/09/2016|04:55||07/09/2016|07:30|0809||||
3|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B3896|2016090803|08/09/2016|09:05|08/09/2016|15:45|PSA|16|SD10|02|||||||||||||PSA-16|722B-S-S1|08/09/2016|15:45|08/09/2016|21:25||2|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|B    - 04.|4|12|3||7|08/09/2016|09:05|08/09/2016|04:55|08/09/2016|04:55||07/09/2016|07:30|0809||||
4|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B3896|2016090803|08/09/2016|09:05|08/09/2016|15:45|PSA|16|SD10|02|||||||||||||PSA-16|722B-S-S1|08/09/2016|15:45|08/09/2016|21:25||3|86100-0K141-00|RECEIVER ASSY RADIO & NAVIGATION|D594|C    - 08.|4|16|4||7|08/09/2016|09:05|08/09/2016|04:55|08/09/2016|04:55||07/09/2016|07:30|0809||||
5|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B3896|2016090803|08/09/2016|09:05|08/09/2016|15:45|PSA|16|SD10|02|||||||||||||PSA-16|722B-S-S1|08/09/2016|15:45|08/09/2016|21:25||4|86120-0KA20-00|RECEIVER ASSY RADIO|A794|C    - 09.|4|12|3||7|08/09/2016|09:05|08/09/2016|04:55|08/09/2016|04:55||07/09/2016|07:30|0809||||
6|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B3896|2016090803|08/09/2016|09:05|08/09/2016|15:45|PSA|16|SD10|02|||||||||||||PSA-16|722B-S-S1|08/09/2016|15:45|08/09/2016|21:25||5|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|C    - 09.|4|16|4||7|08/09/2016|09:05|08/09/2016|04:55|08/09/2016|04:55||07/09/2016|07:30|0809||||
7|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B3955|2016090804|08/09/2016|08:35|08/09/2016|13:45|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|08/09/2016|13:45|08/09/2016|16:01||1|86100-0K141-00|RECEIVER ASSY  RADIO & NAVIGATION|I874|A4.SA- R11|4|4|1||3|08/09/2016|08:35|08/09/2016|02:40|08/09/2016|02:40||07/09/2016|07:30|0809||||
8|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B3955|2016090804|08/09/2016|08:35|08/09/2016|13:45|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|08/09/2016|13:45|08/09/2016|16:01||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|20|5||3|08/09/2016|08:35|08/09/2016|02:40|08/09/2016|02:40||07/09/2016|07:30|0809||||
9|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B3955|2016090804|08/09/2016|08:35|08/09/2016|13:45|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|08/09/2016|13:45|08/09/2016|16:01||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|A4.SA- R11|4|4|1||3|08/09/2016|08:35|08/09/2016|02:40|08/09/2016|02:40||07/09/2016|07:30|0809||||
10|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B3955|2016090804|08/09/2016|08:35|08/09/2016|13:45|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|08/09/2016|13:45|08/09/2016|16:01||4|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|A4.SA- R11|4|4|1||3|08/09/2016|08:35|08/09/2016|02:40|08/09/2016|02:40||07/09/2016|07:30|0809||||
