FTTL_5900010,IMCT,SPTISM,14-Dec-15,FTTL,1,897422-2030,I-23TH,123001-35810101,"RADIO;AM/FM,CD ",1F9B019500,3,3
FTTL_5N00018,IMCT,SPTISM,14-Dec-15,FTTL,1,898052-9370,"6 x 9"" Full (Fr)",153000-04700101,SPEAKER ASM ,1FNB039700,4,4
FTTL_5N00018,IMCT,SPTISM,14-Dec-15,FTTL,2,898219-8453,I-32TH,123001-4610C101,"RADIO;AM/FM,CD ",1FNB118800,2,2
FTTL_5N00019,IMCT,SPTISM,14-Dec-15,FTTL,1,897409-2060,I-14TH,122001-8451A101,"RADIO;AM/FM,CD ",1F9B489400,1,1
FTTL_5N00020,IMCT,SPTISM,14-Dec-15,FTTL,1,898052-9370,"6 x 9"" Full (Fr)",153000-04700101,SPEAKER ASM ,1FNB193200,2,2
FTTL_5N00021,IMCT,SPTISM,14-Dec-15,FTTL,1,898052-9370,"6 x 9"" Full (Fr)",153000-04700101,SPEAKER ASM ,1FNB385000,11,11
FTTL_5N00021,IMCT,SPTISM,14-Dec-15,FTTL,2,898052-9400,6.5 Tweeter,153000-04600101,SPEAKER ASM ,1FNB385100,8,8
FTTL_5N00021,IMCT,SPTISM,14-Dec-15,FTTL,3,898052-9410,16cm Full (Rr),153000-04900101,SPEAKER ASM ,1FNB385200,5,5
FTTL_5N00021,IMCT,SPTISM,14-Dec-15,FTTL,4,898128-5700,Bracket exciter ,151852-08900101 ,Bracket exciter ,1FNB420500,3,3
FTTL_5N00023,IMCT,SPIMIT,14-Dec-15,FTTL,1,898243-6022,I-37TH,123001-4870B101  ,"RADIO;AM/FM,CD ",2FNA376800,1,1
