1|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|B|BANGPAKONG|BN|1|1B FTTLABNA1503|2016111201|12/11/2016|20:55|13/11/2016|00:50|PSF|22|ED06|02|||||||||||||PSF-22|722E-B-PK|13/11/2016|00:50|13/11/2016|02:25||1|89040-0K010-00|SIREN ASSY  THEFT WARNING|H681|L1-04-A4|10|20|2||V|12/11/2016|20:55|12/11/2016|15:55|12/11/2016|15:55||12/11/2016|07:30|1211|||CB2|
2|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|OB|1|1P FTTLAOBA0503|2016111201|12/11/2016|19:45|13/11/2016|03:00|CD16|02|CD16|02|||||||||||||CD16-02||13/11/2016|03:00||||1|PZ071-00A39-1C|RECEIVER ASSY  RADIO|J742|A4.SA- R11|4|4|1|||12/11/2016|19:45|12/11/2016|13:50|12/11/2016|13:50||12/11/2016|07:30|1211||||
3|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4349|2016111205|12/11/2016|08:15|12/11/2016|14:40|PPA1|20|CD16|01|||||||||||||PPA1-20|722F-P-P1|12/11/2016|14:40|12/11/2016|20:56||1|86100-0K142-00|RECEIVER ASSY  RADIO & NAVIGATION|K029|A4.SA- R11|4|8|2||3|12/11/2016|08:15|12/11/2016|02:20|12/11/2016|02:20||11/11/2016|07:30|1211||||
4|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4349|2016111205|12/11/2016|08:15|12/11/2016|14:40|PPA1|20|CD16|01|||||||||||||PPA1-20|722F-P-P1|12/11/2016|14:40|12/11/2016|20:56||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|36|9||3|12/11/2016|08:15|12/11/2016|02:20|12/11/2016|02:20||11/11/2016|07:30|1211||||
5|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4349|2016111205|12/11/2016|08:15|12/11/2016|14:40|PPA1|20|CD16|01|||||||||||||PPA1-20|722F-P-P1|12/11/2016|14:40|12/11/2016|20:56||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|A4.SA- R11|4|4|1||3|12/11/2016|08:15|12/11/2016|02:20|12/11/2016|02:20||11/11/2016|07:30|1211||||
6|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4349|2016111205|12/11/2016|08:15|12/11/2016|14:40|PPA1|20|CD16|01|||||||||||||PPA1-20|722F-P-P1|12/11/2016|14:40|12/11/2016|20:56||4|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|A4.SA- R11|4|4|1||3|12/11/2016|08:15|12/11/2016|02:20|12/11/2016|02:20||11/11/2016|07:30|1211||||
7|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4349|2016111205|12/11/2016|08:15|12/11/2016|14:40|PPA1|20|CD16|01|||||||||||||PPA1-20|722F-P-P1|12/11/2016|14:40|12/11/2016|20:56||5|86140-0K620-00|RECEIVER ASSY  RADIO & DISPLAY|H714|A4.SA- R11|4|4|1||3|12/11/2016|08:15|12/11/2016|02:20|12/11/2016|02:20||11/11/2016|07:30|1211||||
8|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4154|2016111205|12/11/2016|09:05|12/11/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|12/11/2016|15:45|12/11/2016|22:13||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|A    - 09.|4|28|7||B|12/11/2016|09:05|12/11/2016|04:55|12/11/2016|04:55||11/11/2016|07:30|1211||||
9|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4154|2016111205|12/11/2016|09:05|12/11/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|12/11/2016|15:45|12/11/2016|22:13||2|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|B    - 02.|4|8|2||B|12/11/2016|09:05|12/11/2016|04:55|12/11/2016|04:55||11/11/2016|07:30|1211||||
10|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4154|2016111205|12/11/2016|09:05|12/11/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|12/11/2016|15:45|12/11/2016|22:13||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|C    - 09.|4|4|1||B|12/11/2016|09:05|12/11/2016|04:55|12/11/2016|04:55||11/11/2016|07:30|1211||||
11|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4154|2016111205|12/11/2016|09:05|12/11/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|12/11/2016|15:45|12/11/2016|22:13||4|86100-0K142-00|RECEIVER ASSY RADIO & NAVIGATION|D860|IP1. - A03|4|4|1||B|12/11/2016|09:05|12/11/2016|04:55|12/11/2016|04:55||11/11/2016|07:30|1211||||
12|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4154|2016111205|12/11/2016|09:05|12/11/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|12/11/2016|15:45|12/11/2016|22:13||5|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1. - A08|4|4|1||B|12/11/2016|09:05|12/11/2016|04:55|12/11/2016|04:55||11/11/2016|07:30|1211||||
13|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4350|2016111206|12/11/2016|08:15|12/11/2016|14:40|PPA1|24|CD16|01|||||||||||||PPA1-24|722F-P-P1|12/11/2016|14:40|12/11/2016|23:01||1|86100-0K142-00|RECEIVER ASSY  RADIO & NAVIGATION|K029|A4.SA- R11|4|4|1||3|12/11/2016|08:15|12/11/2016|02:20|12/11/2016|02:20||11/11/2016|07:30|1211||||
14|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4350|2016111206|12/11/2016|08:15|12/11/2016|14:40|PPA1|24|CD16|01|||||||||||||PPA1-24|722F-P-P1|12/11/2016|14:40|12/11/2016|23:01||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|36|9||3|12/11/2016|08:15|12/11/2016|02:20|12/11/2016|02:20||11/11/2016|07:30|1211||||
15|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4350|2016111206|12/11/2016|08:15|12/11/2016|14:40|PPA1|24|CD16|01|||||||||||||PPA1-24|722F-P-P1|12/11/2016|14:40|12/11/2016|23:01||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|A4.SA- R11|4|8|2||3|12/11/2016|08:15|12/11/2016|02:20|12/11/2016|02:20||11/11/2016|07:30|1211||||
16|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4350|2016111206|12/11/2016|08:15|12/11/2016|14:40|PPA1|24|CD16|01|||||||||||||PPA1-24|722F-P-P1|12/11/2016|14:40|12/11/2016|23:01||4|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|A4.SA- R11|4|4|1||3|12/11/2016|08:15|12/11/2016|02:20|12/11/2016|02:20||11/11/2016|07:30|1211||||
17|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4155|2016111206|12/11/2016|09:05|12/11/2016|15:45|PSA|21|SD10|02|||||||||||||PSA-21|722B-S-S1|12/11/2016|15:45|13/11/2016|01:46||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|A    - 09.|4|48|12||B|12/11/2016|09:05|12/11/2016|04:55|12/11/2016|04:55||11/11/2016|07:30|1211||||
18|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4155|2016111206|12/11/2016|09:05|12/11/2016|15:45|PSA|21|SD10|02|||||||||||||PSA-21|722B-S-S1|12/11/2016|15:45|13/11/2016|01:46||2|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|B    - 02.|4|8|2||B|12/11/2016|09:05|12/11/2016|04:55|12/11/2016|04:55||11/11/2016|07:30|1211||||
19|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4155|2016111206|12/11/2016|09:05|12/11/2016|15:45|PSA|21|SD10|02|||||||||||||PSA-21|722B-S-S1|12/11/2016|15:45|13/11/2016|01:46||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|C    - 09.|4|4|1||B|12/11/2016|09:05|12/11/2016|04:55|12/11/2016|04:55||11/11/2016|07:30|1211||||
20|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4155|2016111206|12/11/2016|09:05|12/11/2016|15:45|PSA|21|SD10|02|||||||||||||PSA-21|722B-S-S1|12/11/2016|15:45|13/11/2016|01:46||4|86100-0K142-00|RECEIVER ASSY RADIO & NAVIGATION|D860|IP1. - A03|4|4|1||B|12/11/2016|09:05|12/11/2016|04:55|12/11/2016|04:55||11/11/2016|07:30|1211||||
21|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4155|2016111206|12/11/2016|09:05|12/11/2016|15:45|PSA|21|SD10|02|||||||||||||PSA-21|722B-S-S1|12/11/2016|15:45|13/11/2016|01:46||5|86120-0KA41-00|RECEIVER ASSY RADIO|D885|IP1. - A03|4|4|1||B|12/11/2016|09:05|12/11/2016|04:55|12/11/2016|04:55||11/11/2016|07:30|1211||||
