14|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8708|2019072608|26/07/2019|15:50|26/07/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|26/07/2019|20:35|27/07/2019|03:42||3|86120-0KA50-00|RECEIVER ASSY RADIO|A796|IP1  - A07|4|4|1||F|26/07/2019|15:50|26/07/2019|11:40|26/07/2019|11:40||26/07/2019|07:30|2607||F1||
15|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8708|2019072608|26/07/2019|15:50|26/07/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|26/07/2019|20:35|27/07/2019|03:42||4|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|4|1||F|26/07/2019|15:50|26/07/2019|11:40|26/07/2019|11:40||26/07/2019|07:30|2607||F1||
16|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8708|2019072608|26/07/2019|15:50|26/07/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|26/07/2019|20:35|27/07/2019|03:42||5|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|26/07/2019|15:50|26/07/2019|11:40|26/07/2019|11:40||26/07/2019|07:30|2607||F1||
17|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8708|2019072608|26/07/2019|15:50|26/07/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|26/07/2019|20:35|27/07/2019|03:42||6|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|4|1||F|26/07/2019|15:50|26/07/2019|11:40|26/07/2019|11:40||26/07/2019|07:30|2607||F1||
18|FTTL|A|DENSO TEN (THAILAND) Limited.|B|BANGPAKONG|BN|1|1B FTTLABNA2101|2019073001|30/07/2019|13:15|30/07/2019|15:45|PSF|13|ED06|01|||||||||||||PSF-13|722E-B-PK|30/07/2019|15:45|30/07/2019|19:30||1|89040-0K030-00|SIREN ASSY  THEFT WARNING|I257|DIRECT|10|60|6||Z|30/07/2019|13:15|26/07/2019|17:15|26/07/2019|17:15||26/07/2019|07:30|3007|||CB2|
19|FTTL|A|DENSO TEN (THAILAND) Limited.|B|BANGPAKONG|BN|1|1B FTTLABNA2101|2019073001|30/07/2019|13:15|30/07/2019|15:45|PSF|13|ED06|01|||||||||||||PSF-13|722E-B-PK|30/07/2019|15:45|30/07/2019|19:30||2|89040-0K010-00|SIREN ASSY  THEFT WARNING|H681|L2-02-34|10|10|1||E|30/07/2019|13:15|26/07/2019|17:15|26/07/2019|17:15||26/07/2019|07:30|3007|||CB2|
20|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7940|2019073001|26/07/2019|15:34|26/07/2019|21:06|PPA1|04|CD16|02|||||||||||||PPA1-04|722F-P-P1|26/07/2019|21:06|30/07/2019|09:50||1|86100-0K144-00|RECEIVER ASSY  RADIO & NAVIGATION|B036|SA.R -  12|4|4|1||F|26/07/2019|15:34|26/07/2019|09:39|26/07/2019|09:39||26/07/2019|07:30|3007||F1||
21|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7940|2019073001|26/07/2019|15:34|26/07/2019|21:06|PPA1|04|CD16|02|||||||||||||PPA1-04|722F-P-P1|26/07/2019|21:06|30/07/2019|09:50||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|32|8||F|26/07/2019|15:34|26/07/2019|09:39|26/07/2019|09:39||26/07/2019|07:30|3007||F1||
22|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7940|2019073001|26/07/2019|15:34|26/07/2019|21:06|PPA1|04|CD16|02|||||||||||||PPA1-04|722F-P-P1|26/07/2019|21:06|30/07/2019|09:50||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|SA.R -  12|4|4|1||F|26/07/2019|15:34|26/07/2019|09:39|26/07/2019|09:39||26/07/2019|07:30|3007||F1||
23|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7940|2019073001|26/07/2019|15:34|26/07/2019|21:06|PPA1|04|CD16|02|||||||||||||PPA1-04|722F-P-P1|26/07/2019|21:06|30/07/2019|09:50||4|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|4|1||F|26/07/2019|15:34|26/07/2019|09:39|26/07/2019|09:39||26/07/2019|07:30|3007||F1||
24|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7940|2019073001|26/07/2019|15:34|26/07/2019|21:06|PPA1|04|CD16|02|||||||||||||PPA1-04|722F-P-P1|26/07/2019|21:06|30/07/2019|09:50||5|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|4|1||F|26/07/2019|15:34|26/07/2019|09:39|26/07/2019|09:39||26/07/2019|07:30|3007||F1||
25|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7944|2019073001|27/07/2019|03:31|30/07/2019|09:06|PPA1|08|CD16|01|||||||||||||PPA1-08|722F-P-P1|30/07/2019|09:06|30/07/2019|13:43||1|89040-0K020-00|SIREN ASSY  THEFT WARNING|H715|SD.R -   7|35|35|1||I|27/07/2019|03:31|26/07/2019|18:04|26/07/2019|18:04||26/07/2019|07:30|3007||MX||
26|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7944|2019073001|27/07/2019|03:31|30/07/2019|09:06|PPA1|08|CD16|01|||||||||||||PPA1-08|722F-P-P1|30/07/2019|09:06|30/07/2019|13:43||2|89040-0K030-00|SIREN ASSY  THEFT WARNING|U365|SW.R -  10|16|16|1||H|27/07/2019|03:31|26/07/2019|18:04|26/07/2019|18:04||26/07/2019|07:30|3007||MX||
27|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8709|2019073001|26/07/2019|15:50|26/07/2019|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|26/07/2019|20:35|30/07/2019|07:30||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|28|7||F|26/07/2019|15:50|26/07/2019|11:40|26/07/2019|11:40||26/07/2019|07:30|3007||F1||
28|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8709|2019073001|26/07/2019|15:50|26/07/2019|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|26/07/2019|20:35|30/07/2019|07:30||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||F|26/07/2019|15:50|26/07/2019|11:40|26/07/2019|11:40||26/07/2019|07:30|3007||F1||
29|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8709|2019073001|26/07/2019|15:50|26/07/2019|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|26/07/2019|20:35|30/07/2019|07:30||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|4|1||F|26/07/2019|15:50|26/07/2019|11:40|26/07/2019|11:40||26/07/2019|07:30|3007||F1||
30|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8709|2019073001|26/07/2019|15:50|26/07/2019|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|26/07/2019|20:35|30/07/2019|07:30||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|8|2||F|26/07/2019|15:50|26/07/2019|11:40|26/07/2019|11:40||26/07/2019|07:30|3007||F1||
31|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8709|2019073001|26/07/2019|15:50|26/07/2019|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|26/07/2019|20:35|30/07/2019|07:30||5|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|4|1||F|26/07/2019|15:50|26/07/2019|11:40|26/07/2019|11:40||26/07/2019|07:30|3007||F1||
32|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7941|2019073002|27/07/2019|03:31|30/07/2019|09:06|PPA1|08|CD16|01|||||||||||||PPA1-08|722F-P-P1|30/07/2019|09:06|30/07/2019|13:43||1|86100-0K144-00|RECEIVER ASSY  RADIO & NAVIGATION|B036|SA.R -  12|4|8|2||F|27/07/2019|03:31|26/07/2019|18:04|26/07/2019|18:04||26/07/2019|07:30|3007||F1||
33|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7941|2019073002|27/07/2019|03:31|30/07/2019|09:06|PPA1|08|CD16|01|||||||||||||PPA1-08|722F-P-P1|30/07/2019|09:06|30/07/2019|13:43||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|32|8||F|27/07/2019|03:31|26/07/2019|18:04|26/07/2019|18:04||26/07/2019|07:30|3007||F1||
34|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7941|2019073002|27/07/2019|03:31|30/07/2019|09:06|PPA1|08|CD16|01|||||||||||||PPA1-08|722F-P-P1|30/07/2019|09:06|30/07/2019|13:43||3|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|4|1||F|27/07/2019|03:31|26/07/2019|18:04|26/07/2019|18:04||26/07/2019|07:30|3007||F1||
35|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7941|2019073002|27/07/2019|03:31|30/07/2019|09:06|PPA1|08|CD16|01|||||||||||||PPA1-08|722F-P-P1|30/07/2019|09:06|30/07/2019|13:43||4|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|SA.R -  13|4|4|1||F|27/07/2019|03:31|26/07/2019|18:04|26/07/2019|18:04||26/07/2019|07:30|3007||F1||
36|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8710|2019073002|26/07/2019|15:50|26/07/2019|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|26/07/2019|20:35|30/07/2019|09:57||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|32|8||F|26/07/2019|15:50|26/07/2019|11:40|26/07/2019|11:40||26/07/2019|07:30|3007||F1||
