14|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4382|2016111706|17/11/2016|08:15|17/11/2016|14:40|PPA1|24|CD16|01|||||||||||||PPA1-24|722F-P-P1|17/11/2016|14:40|17/11/2016|23:01||1|86100-0K142-00|RECEIVER ASSY  RADIO & NAVIGATION|K029|A4.SA- R11|4|8|2||3|17/11/2016|08:15|17/11/2016|02:20|17/11/2016|02:20||16/11/2016|07:30|1711||||
15|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4382|2016111706|17/11/2016|08:15|17/11/2016|14:40|PPA1|24|CD16|01|||||||||||||PPA1-24|722F-P-P1|17/11/2016|14:40|17/11/2016|23:01||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|32|8||3|17/11/2016|08:15|17/11/2016|02:20|17/11/2016|02:20||16/11/2016|07:30|1711||||
16|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4382|2016111706|17/11/2016|08:15|17/11/2016|14:40|PPA1|24|CD16|01|||||||||||||PPA1-24|722F-P-P1|17/11/2016|14:40|17/11/2016|23:01||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|A4.SA- R11|4|8|2||3|17/11/2016|08:15|17/11/2016|02:20|17/11/2016|02:20||16/11/2016|07:30|1711||||
17|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4382|2016111706|17/11/2016|08:15|17/11/2016|14:40|PPA1|24|CD16|01|||||||||||||PPA1-24|722F-P-P1|17/11/2016|14:40|17/11/2016|23:01||4|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|A4.SA- R11|4|4|1||3|17/11/2016|08:15|17/11/2016|02:20|17/11/2016|02:20||16/11/2016|07:30|1711||||
18|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4382|2016111706|17/11/2016|08:15|17/11/2016|14:40|PPA1|24|CD16|01|||||||||||||PPA1-24|722F-P-P1|17/11/2016|14:40|17/11/2016|23:01||5|86140-0K620-00|RECEIVER ASSY  RADIO & DISPLAY|H714|A4.SA- R11|4|4|1||3|17/11/2016|08:15|17/11/2016|02:20|17/11/2016|02:20||16/11/2016|07:30|1711||||
19|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4179|2016111706|17/11/2016|09:05|17/11/2016|15:45|PSA|21|SD10|02|||||||||||||PSA-21|722B-S-S1|17/11/2016|15:45|18/11/2016|01:46||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|A    - 09.|4|44|11||7|17/11/2016|09:05|17/11/2016|04:55|17/11/2016|04:55||16/11/2016|07:30|1711||||
20|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4179|2016111706|17/11/2016|09:05|17/11/2016|15:45|PSA|21|SD10|02|||||||||||||PSA-21|722B-S-S1|17/11/2016|15:45|18/11/2016|01:46||2|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|B    - 02.|4|8|2||7|17/11/2016|09:05|17/11/2016|04:55|17/11/2016|04:55||16/11/2016|07:30|1711||||
21|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4179|2016111706|17/11/2016|09:05|17/11/2016|15:45|PSA|21|SD10|02|||||||||||||PSA-21|722B-S-S1|17/11/2016|15:45|18/11/2016|01:46||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|C    - 09.|4|4|1||7|17/11/2016|09:05|17/11/2016|04:55|17/11/2016|04:55||16/11/2016|07:30|1711||||
22|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4179|2016111706|17/11/2016|09:05|17/11/2016|15:45|PSA|21|SD10|02|||||||||||||PSA-21|722B-S-S1|17/11/2016|15:45|18/11/2016|01:46||4|86100-0K142-00|RECEIVER ASSY RADIO & NAVIGATION|D860|IP1. - A03|4|8|2|||17/11/2016|09:05|17/11/2016|04:55|17/11/2016|04:55||16/11/2016|07:30|1711||||
23|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4179|2016111706|17/11/2016|09:05|17/11/2016|15:45|PSA|21|SD10|02|||||||||||||PSA-21|722B-S-S1|17/11/2016|15:45|18/11/2016|01:46||5|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1. - A08|4|8|2|||17/11/2016|09:05|17/11/2016|04:55|17/11/2016|04:55||16/11/2016|07:30|1711||||
