1|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|B|BANGPAKONG|BN|1|1B FTTLBBNA0046|2016063001|30/06/2016|21:25|01/07/2016|01:00|PSF|22|EB01|03|||||||||||||PSF-22|722E-B-PK|01/07/2016|01:00|01/07/2016|02:25||1|86160-0K430-00|SPEAKER ASSY  RADIO|H660|M2-12-A1|10|240|24||U|30/06/2016|21:25|30/06/2016|16:25|30/06/2016|16:25||30/06/2016|07:30|3006|||
2|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|XA|1|1G FTTLBXAA0087|2016063001|30/06/2016|09:35|30/06/2016|17:00|PXA|16|WB07|02|||||||||||||PXA-16|722C-G-XA|30/06/2016|17:00|30/06/2016|21:25||1|86160-02B00-00|SPEAKER ASSY RADIO|K087|D2-10-21|10|20|2||2|30/06/2016|09:35|30/06/2016|05:35|30/06/2016|05:35||29/06/2016|07:30|3006|||
3|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLBS1A4783|2016063004|30/06/2016|05:30|30/06/2016|08:25|PSA|07|SB06|01|||||||||||||PSA-07|722B-S-S1|30/06/2016|08:25|30/06/2016|10:32||1|86160-0K430-00|SPEAKER ASSY RADIO|D595|DO1. - R14|16|64|4|||30/06/2016|05:30|30/06/2016|01:20|30/06/2016|01:20||29/06/2016|07:30|3006|||
4|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLBS1A4783|2016063004|30/06/2016|05:30|30/06/2016|08:25|PSA|07|SB06|01|||||||||||||PSA-07|722B-S-S1|30/06/2016|08:25|30/06/2016|10:32||2|86160-0K430-00|SPEAKER ASSY RADIO|D595|FN3. - L07|16|32|2|||30/06/2016|05:30|30/06/2016|01:20|30/06/2016|01:20||29/06/2016|07:30|3006|||
5|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLBS1A4783|2016063004|30/06/2016|05:30|30/06/2016|08:25|PSA|07|SB06|01|||||||||||||PSA-07|722B-S-S1|30/06/2016|08:25|30/06/2016|10:32||3|86160-0K430-00|SPEAKER ASSY RADIO|D595|FN3. - R07|16|32|2|||30/06/2016|05:30|30/06/2016|01:20|30/06/2016|01:20||29/06/2016|07:30|3006|||
6|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLBS1A4784|2016063005|30/06/2016|05:30|30/06/2016|08:25|PSA|09|SB06|01|||||||||||||PSA-09|722B-S-S1|30/06/2016|08:25|30/06/2016|12:30||1|86160-0K430-00|SPEAKER ASSY RADIO|D595|DO1. - R14|16|64|4|||30/06/2016|05:30|30/06/2016|01:20|30/06/2016|01:20||29/06/2016|07:30|3006|||
7|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLBS1A4784|2016063005|30/06/2016|05:30|30/06/2016|08:25|PSA|09|SB06|01|||||||||||||PSA-09|722B-S-S1|30/06/2016|08:25|30/06/2016|12:30||2|86160-0K430-00|SPEAKER ASSY RADIO|D595|FN3. - L07|16|32|2|||30/06/2016|05:30|30/06/2016|01:20|30/06/2016|01:20||29/06/2016|07:30|3006|||
8|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLBS1A4784|2016063005|30/06/2016|05:30|30/06/2016|08:25|PSA|09|SB06|01|||||||||||||PSA-09|722B-S-S1|30/06/2016|08:25|30/06/2016|12:30||3|86160-0K430-00|SPEAKER ASSY RADIO|D595|FN3. - R07|16|32|2|||30/06/2016|05:30|30/06/2016|01:20|30/06/2016|01:20||29/06/2016|07:30|3006|||
9|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLBS1A4785|2016063006|30/06/2016|05:30|30/06/2016|08:25|PSA|11|SB06|01|||||||||||||PSA-11|722B-S-S1|30/06/2016|08:25|30/06/2016|13:27||1|86160-0K430-00|SPEAKER ASSY RADIO|D595|DO1. - R14|16|128|8|||30/06/2016|05:30|30/06/2016|01:20|30/06/2016|01:20||29/06/2016|07:30|3006|||
10|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLBS1A4785|2016063006|30/06/2016|05:30|30/06/2016|08:25|PSA|11|SB06|01|||||||||||||PSA-11|722B-S-S1|30/06/2016|08:25|30/06/2016|13:27||2|86160-0K430-00|SPEAKER ASSY RADIO|D595|FN3. - L07|16|32|2|||30/06/2016|05:30|30/06/2016|01:20|30/06/2016|01:20||29/06/2016|07:30|3006|||
11|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLBS1A4785|2016063006|30/06/2016|05:30|30/06/2016|08:25|PSA|11|SB06|01|||||||||||||PSA-11|722B-S-S1|30/06/2016|08:25|30/06/2016|13:27||3|86160-0K430-00|SPEAKER ASSY RADIO|D595|FN3. - R07|16|32|2|||30/06/2016|05:30|30/06/2016|01:20|30/06/2016|01:20||29/06/2016|07:30|3006|||
12|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1847|2016063007|30/06/2016|10:00|30/06/2016|15:00|PG2|14|GB02|02|||||||||||||PG2-14|722C-G-G2|30/06/2016|15:00|30/06/2016|20:08||1|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SM -  01|8|40|5||K|30/06/2016|10:00|30/06/2016|06:00|30/06/2016|06:00||29/06/2016|07:30|3006||S1|
