TNTH__2700016,IMCT,SPTISM,11-Aug-22,TNTH,1,897492-2401,CMI-008TH,134000-96910101,,1N7B602300,2,2,,,
TNTH__2800001,IMCT,SPIMIT,11-Aug-22,TNTH,1,897663-4340,BATTERY,411939-00800121,,2N7A580800,1,1,,,
TNTH__2800001,IMCT,SPIMIT,11-Aug-22,TNTH,2,897663-4340,BATTERY,411939-00800121,,2N7A581500,1,1,,,
