FTTL_6500016,IMCT,SPTISM,13-Jun-16,FTTL,1,898052-9370,"6 x 9"" Full (Fr)",153000-04700101,SPEAKER ASM ,1G5A714800,1,1
FTTL_6500017,IMCT,SPTISM,13-Jun-16,FTTL,1,898312-2830,I-47TH,123001-6540A101,"RADIO;AM/FM,CD ",1G5B099400,1,1
FTTL_6500018,IMCT,SPTISM,13-Jun-16,FTTL,1,898254-5120,"ROOF,SPK",153000-29900101 ,SPEAKER ASM ,1G5B310400,2,2
FTTL_6500019,IMCT,SPIMIT,13-Jun-16,FTTL,1,898052-9370,"6 x 9"" Full (Fr)",153000-04700101,SPEAKER ASM ,2G5A411900,3,3
FTTL_6500019,IMCT,SPIMIT,13-Jun-16,FTTL,2,898193-6310,USB Cable,121140-71300121 ,USB Cable,2G5A382700,50,50
FTTL_6500012,IMCT,SPIMIT,13-Jun-16,FTTL,1,898254-2601,I-44TH ,123001-5860B101 ,"RADIO;AM/FM,CD,F ",2G3A585700..,70,70
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,, ,,,,,,
