FTTL_6200001,IMCT,SPIMIT,24-Feb-16,FTTL,1,898052-9370,"6 x 9"" Full (Fr)",153000-04700101,SPEAKER ASM ,2G2A111300,5,5
FTTL_6200003,IMCT,SPTISM,26-Feb-16,FTTL,1,898193-6310,USB Cable,121140-71300121 ,USB Cable,1G2A308700,50,50
FTTL_6200004,IMCT,SPTISM,26-Feb-16,FTTL,1,898219-8453,I-32TH,123001-4610C101,"RADIO;AM/FM,CD ",1G2A317700,1,1
FTTL_6200005,IMCT,SPTISM,26-Feb-16,FTTL,1,898052-9353,I-18TH,123001-1630E101,"RADIO;AM/FM,CD ",1G2A249900,1,1
FTTL_6200007,IMCT,SPTISM,26-Feb-16,FTTL,1,898064-7040,NB-1TH,151121-00200101,SPEAKER ASM;RDO ,1G2A512900,2,2
FTTL_6200008,IMCT,SPIMIT,26-Feb-16,FTTL,1,898052-9370,"6 x 9"" Full (Fr)",153000-04700101,SPEAKER ASM ,2G2A184800,7,7
FTTL_6200008,IMCT,SPIMIT,26-Feb-16,FTTL,2,898052-9410,16cm Full (Rr),153000-04900101,SPEAKER ASM ,2G2A184900,4,4
FTTL_6200010,IMCT,SPIMIT,26-Feb-16,FTTL,1,898111-4541,II-29SAC,123001-4020A101,"RADIO;AM/FM,CD ",2G2A190800,4,4
FTTL_6200010,IMCT,SPIMIT,26-Feb-16,FTTL,2,898243-6012,I-40TH ,123001-4890C101 ,"RADIO;AM/FM,CD ",2G2A210400,5,5
FTTL_6200013,IMCT,SPIMIT,26-Feb-16,FTTL,1,898231-5561,II-33AFC ,123001-4980B101 ,"RADIO;AM/FM,CD ",2G2A098200,3,3
