DDFN219285	8982807010	20151113	60	S5	4	310	SR
DDFN219286	8982807010	20151113	180	S5	4	1000	SR
DDFN219287	8982807010	20151113	60	S5	4	1510	SR
DDFN219288	8982807020	20151113	120	S5	5	1000	SR
DDFN219289	8982807030	20151113	60	S6	15	310	SR
DDFN219290	8982807030	20151113	180	S6	15	1000	SR
DDFN219291	8982807030	20151113	60	S6	15	1510	SR
DDFN219292	8982964590	20151113	30	S5	3	310	SR
DDFN219293	8982964590	20151113	30	S5	3	1000	SR
DDFN219294	8983122830	20151113	30	S5	3	310	SR
DDFN219295	8983122830	20151113	30	S5	3	1000	SR
DDFN219296	8983122830	20151113	30	S5	3	1510	SR
DUFN229060	8980529370	20151112	60	S0	3	2300	SR
DUFN229061	8980529370	20151113	60	S0	3	310	SR
DUFN229062	8980529370	20151113	30	S0	3	800	SR
DUFN229063	8980529370	20151113	60	S0	3	1100	SR
DUFN229064	8980529400	20151112	60	S9	15	2300	SR
DUFN229065	8980529400	20151113	60	S9	15	310	SR
DUFN229066	8980529400	20151113	30	S9	15	800	SR
DUFN229067	8980529400	20151113	60	S9	15	1100	SR
DUFN229068	8980529410	20151112	60	S0	5	2300	SR
DUFN229069	8980529410	20151113	60	S0	5	310	SR
DUFN229070	8980529410	20151113	30	S0	5	800	SR
DUFN229071	8980529410	20151113	60	S0	5	1100	SR
DUFN229072	8980529420	20151112	60	S9	30	2300	SR
DUFN229073	8980529420	20151113	30	S9	30	310	SR
DUFN229074	8980529420	20151113	30	S9	30	800	SR
DUFN229075	8980529420	20151113	60	S9	30	1100	SR
DUFN229076	8980647040	20151112	30	S0	15	2300	SR
DUFN229077	8980647040	20151113	15	S0	15	310	SR
DUFN229078	8980647040	20151113	15	S0	15	800	SR
DUFN229079	8980647040	20151113	30	S0	15	1100	SR
EDFN233158	8980529370	20151112	120	S5	3	2230	SR
EDFN233159	8980529370	20151113	120	S5	3	310	SR
EDFN233160	8980529370	20151113	30	S5	3	1000	SR
EDFN233161	8980529370	20151113	60	S5	3	1510	SR
EDFN233162	8980529370	20151113	30	S0	3	310	SR
EDFN233163	8980529370	20151113	30	S0	3	1510	SR
EDFN233164	8980529400	20151112	30	S5	15	2230	SR
EDFN233165	8980529400	20151113	60	S5	15	310	SR
EDFN233166	8980529400	20151113	60	S5	15	1510	SR
EDFN233167	8980529400	20151113	30	S9	15	310	SR
EDFN233168	8980529400	20151113	30	S9	15	1510	SR
EDFN233169	8980529410	20151113	30	S5	5	310	SR
EDFN233170	8980529410	20151113	30	S5	5	1510	SR
EDFN233171	8980529410	20151113	30	S0	5	1510	SR
EDFN233172	8980529420	20151113	30	S6	30	310	SR
EDFN233173	8980529420	20151113	30	S9	30	310	SR
EDFN233174	8980647040	20151113	15	S6	15	310	SR
EDFN233175	8980647040	20151113	15	S0	15	310	SR
EDFN233176	8982413562	20151113	15	S5	3	1000	SR
EDFN233177	8982413572	20151112	15	S5	3	2230	SR
EDFN233178	8982413582	20151113	15	S9	3	1510	SR
EDFN233179	8982436012	20151113	15	S9	3	310	SR
