INV201510135,GM,GGA1,14-Oct-15,FTTL,9:20,2,52033625,"6""x 9""",,153000-22900101,"Speaker 6""x9"" 4W Full Range",GGA1,288,96
INV201510137,GM,GGA1,14-Oct-15,FTTL,9:20,1,23402906,T-1,,111000-58010101,RADIO ASM-RECEIVER,GGA1,12,2.4
INV201510137,GM,GGA1,14-Oct-15,FTTL,9:20,2,23402910,T-6,,111000-58810101,RADIO ASM-RECEIVER,GGA1,8,2
INV201510145,GM,GGA0,15-Oct-15,FTTL,9:20,1,52026924,G-18TH,,123001-4070C101,RADIO ASM-AM/FM,GGA0,12,6
INV201510146,GM,GGA1,15-Oct-15,FTTL,9:20,1,52033623,16cm full,,153000-23200101,Speaker with inductor,GGA1,360,72
INV201510146,GM,GGA1,15-Oct-15,FTTL,9:20,2,52033625,"6""x 9""",,153000-22900101,"Speaker 6""x9"" 4W Full Range",GGA1,360,120
INV201510173,GM,GGA0,16-Oct-15,FTTL,9:20,1,52029707,G-12TH,,123001-3190C101,RADIO ASM-AM/FM,GGA0,12,6
INV201510174,GM,GGA2,16-Oct-15,FTTL,9:20,1,52033621,"6.5"" Tweeter",,153000-22800101,"Speaker 6.5"" Tweeter",GGA2,720,48
INV201510175,GM,GGA1,16-Oct-15,FTTL,9:20,1,52033623,16cm full,,153000-23200101,Speaker with inductor,GGA1,360,72
INV201510175,GM,GGA1,16-Oct-15,FTTL,9:20,2,52033625,"6""x 9""",,153000-22900101,"Speaker 6""x9"" 4W Full Range",GGA1,360,120
INV201510205,GM,GGA1,19-Oct-15,FTTL,9:20,1,52033623,16cm full,,153000-23200101,Speaker with inductor,GGA1,360,72
INV201510205,GM,GGA1,19-Oct-15,FTTL,9:20,2,52033625,"6""x 9""",,153000-22900101,"Speaker 6""x9"" 4W Full Range",GGA1,360,120
INV201510210,GM,GGA0,20-Oct-15,FTTL,9:20,1,52026924,G-18TH,,123001-4070C101,RADIO ASM-AM/FM,GGA0,24,12
INV201510210,GM,GGA0,20-Oct-15,FTTL,9:20,2,52029707,G-12TH,,123001-3190C101,RADIO ASM-AM/FM,GGA0,72,36
