1|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|B|BANGPAKONG|BN|1|1B FTTLABNA1672|2017111001|10/11/2017|20:55|11/11/2017|02:00|PSF|24|ED06|04|||||||||||||PSF-24|722E-B-PK|11/11/2017|02:00|11/11/2017|03:51||1|89040-0K010-00|SIREN ASSY  THEFT WARNING|H681|L1-08-C4|10|10|1||G|10/11/2017|20:55|10/11/2017|15:55|10/11/2017|15:55||10/11/2017|07:30|1011|||CB2|
2|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|OG|1|1G FTTLAOGA0230|2017111001|10/11/2017|13:42|10/11/2017|21:55|GD05|03|GD05|03|||||||||||||GD05-03||10/11/2017|21:55||||1|PC600-0D01D-00|RECEIVER ASSY  RADIO&DISPLAY|29A5|..ZK -  05|3|9|3|||10/11/2017|13:42|10/11/2017|07:42|10/11/2017|07:42||10/11/2017|07:30|1011||||
3|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|OG|1|1G FTTLAOGA0230|2017111001|10/11/2017|13:42|10/11/2017|21:55|GD05|03|GD05|03|||||||||||||GD05-03||10/11/2017|21:55||||2|PC600-0D01G-00|MANUAL  OWNERS RADIO|29A6|CS   -  17|10|10|1|||10/11/2017|13:42|10/11/2017|07:42|10/11/2017|07:42||10/11/2017|07:30|1011||||
4|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5592|2017111003|10/11/2017|13:17|10/11/2017|20:00|PPA1|17|CD16|02|||||||||||||PPA1-17|722F-P-P1|10/11/2017|20:00|10/11/2017|22:13||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|4|1|||10/11/2017|13:17|10/11/2017|07:22|10/11/2017|07:22||09/11/2017|07:30|1011||||
5|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5592|2017111003|10/11/2017|13:17|10/11/2017|20:00|PPA1|17|CD16|02|||||||||||||PPA1-17|722F-P-P1|10/11/2017|20:00|10/11/2017|22:13||2|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|A4.SA- R11|4|4|1|||10/11/2017|13:17|10/11/2017|07:22|10/11/2017|07:22||09/11/2017|07:30|1011||||
6|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5592|2017111003|10/11/2017|13:17|10/11/2017|20:00|PPA1|17|CD16|02|||||||||||||PPA1-17|722F-P-P1|10/11/2017|20:00|10/11/2017|22:13||3|86120-0KA50-00|RECEIVER ASSY  RADIO|H559|A4.SA- R11|4|4|1|||10/11/2017|13:17|10/11/2017|07:22|10/11/2017|07:22||09/11/2017|07:30|1011||||
7|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5592|2017111003|10/11/2017|13:17|10/11/2017|20:00|PPA1|17|CD16|02|||||||||||||PPA1-17|722F-P-P1|10/11/2017|20:00|10/11/2017|22:13||4|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|A4.SA- R11|4|4|1|||10/11/2017|13:17|10/11/2017|07:22|10/11/2017|07:22||09/11/2017|07:30|1011||||
8|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5592|2017111003|10/11/2017|13:17|10/11/2017|20:00|PPA1|17|CD16|02|||||||||||||PPA1-17|722F-P-P1|10/11/2017|20:00|10/11/2017|22:13||5|86140-0K620-00|RECEIVER ASSY  RADIO & DISPLAY|H714|A4.SA- R11|4|4|1|||10/11/2017|13:17|10/11/2017|07:22|10/11/2017|07:22||09/11/2017|07:30|1011||||
9|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5592|2017111003|10/11/2017|13:17|10/11/2017|20:00|PPA1|17|CD16|02|||||||||||||PPA1-17|722F-P-P1|10/11/2017|20:00|10/11/2017|22:13||6|86100-0K143-00|RECEIVER ASSY  RADIO & NAVIGATION|U803|A5.SA- R10|4|4|1|||10/11/2017|13:17|10/11/2017|07:22|10/11/2017|07:22||09/11/2017|07:30|1011||||
10|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5592|2017111003|10/11/2017|13:17|10/11/2017|20:00|PPA1|17|CD16|02|||||||||||||PPA1-17|722F-P-P1|10/11/2017|20:00|10/11/2017|22:13||7|86100-0K213-00|RECEIVER ASSY  RADIO & NAVIGATION|U804|A5.SA- R10|4|4|1|||10/11/2017|13:17|10/11/2017|07:22|10/11/2017|07:22||09/11/2017|07:30|1011||||
11|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5592|2017111003|10/11/2017|13:17|10/11/2017|20:00|PPA1|17|CD16|02|||||||||||||PPA1-17|722F-P-P1|10/11/2017|20:00|10/11/2017|22:13||8|86120-0KA41-00|RECEIVER ASSY  RADIO|K049|A5.SA- R10|4|4|1|||10/11/2017|13:17|10/11/2017|07:22|10/11/2017|07:22||09/11/2017|07:30|1011||||
