FTTL__7600007,IMCT,SPTISM,7-Jul-17,FTTL,1,898052-9370,"6 x 9"" Full (Fr)",153000-04700101,,1H6B090400,1,1
FTTL__7700001,IMCT,SPTISM,7-Jul-17,FTTL,1,898350-9791,I-88TH,139001-8420A101,,1H7A000100,2,2
FTTL__7700001,IMCT,SPTISM,7-Jul-17,FTTL,2,898350-9791,I-88TH,139001-8420A101,,1H7A000200,1,1
