1|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|B|BANGPAKONG|BN|1|1B FTTLBBNA0033|2016061301|13/06/2016|21:25|14/06/2016|01:00|PSF|22|EB01|03|||||||||||||PSF-22|722E-B-PK|14/06/2016|01:00|14/06/2016|02:25||1|86160-0K430-00|SPEAKER ASSY  RADIO|H660|M2-12-11|10|120|12||U|13/06/2016|21:25|13/06/2016|16:25|13/06/2016|16:25||13/06/2016|07:30|1306|||
2|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|XA|1|1G FTTLBXAA0074|2016061301|13/06/2016|09:35|13/06/2016|17:00|PXA|16|WB07|02|||||||||||||PXA-16|722C-G-XA|13/06/2016|17:00|13/06/2016|21:25||1|86160-0K270-00|SPEAKER ASSY  RADIO|L518|C4-09-45|20|80|4||I|13/06/2016|09:35|13/06/2016|05:35|13/06/2016|05:35||11/06/2016|07:30|1306|||
3|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|XA|1|1G FTTLBXAA0074|2016061301|13/06/2016|09:35|13/06/2016|17:00|PXA|16|WB07|02|||||||||||||PXA-16|722C-G-XA|13/06/2016|17:00|13/06/2016|21:25||2|86160-02B00-00|SPEAKER ASSY RADIO|K087|D2-10-21|10|300|30||2|13/06/2016|09:35|13/06/2016|05:35|13/06/2016|05:35||11/06/2016|07:30|1306|||
4|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1715|2016061307|13/06/2016|10:00|13/06/2016|15:00|PG2|14|GB02|02|||||||||||||PG2-14|722C-G-G2|13/06/2016|15:00|13/06/2016|20:08||1|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SM -  01|8|48|6||K|13/06/2016|10:00|13/06/2016|06:00|13/06/2016|06:00||11/06/2016|07:30|1306||S1|
5|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1715|2016061307|13/06/2016|10:00|13/06/2016|15:00|PG2|14|GB02|02|||||||||||||PG2-14|722C-G-G2|13/06/2016|15:00|13/06/2016|20:08||2|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SN -  01|8|40|5||K|13/06/2016|10:00|13/06/2016|06:00|13/06/2016|06:00||11/06/2016|07:30|1306||S1|
6|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1715|2016061307|13/06/2016|10:00|13/06/2016|15:00|PG2|14|GB02|02|||||||||||||PG2-14|722C-G-G2|13/06/2016|15:00|13/06/2016|20:08||3|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SO -  01|8|48|6||L|13/06/2016|10:00|13/06/2016|06:00|13/06/2016|06:00||11/06/2016|07:30|1306||S1|
7|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1715|2016061307|13/06/2016|10:00|13/06/2016|15:00|PG2|14|GB02|02|||||||||||||PG2-14|722C-G-G2|13/06/2016|15:00|13/06/2016|20:08||4|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SP -  01|8|56|7||L|13/06/2016|10:00|13/06/2016|06:00|13/06/2016|06:00||11/06/2016|07:30|1306||S1|
8|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1716|2016061308|13/06/2016|10:00|13/06/2016|15:00|PG2|16|GB02|02|||||||||||||PG2-16|722C-G-G2|13/06/2016|15:00|13/06/2016|21:25||1|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SM -  01|8|40|5||K|13/06/2016|10:00|13/06/2016|06:00|13/06/2016|06:00||11/06/2016|07:30|1306||S1|
9|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1716|2016061308|13/06/2016|10:00|13/06/2016|15:00|PG2|16|GB02|02|||||||||||||PG2-16|722C-G-G2|13/06/2016|15:00|13/06/2016|21:25||2|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SN -  01|8|48|6||K|13/06/2016|10:00|13/06/2016|06:00|13/06/2016|06:00||11/06/2016|07:30|1306||S1|
10|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1716|2016061308|13/06/2016|10:00|13/06/2016|15:00|PG2|16|GB02|02|||||||||||||PG2-16|722C-G-G2|13/06/2016|15:00|13/06/2016|21:25||3|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SO -  01|8|56|7||L|13/06/2016|10:00|13/06/2016|06:00|13/06/2016|06:00||11/06/2016|07:30|1306||S1|
11|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1716|2016061308|13/06/2016|10:00|13/06/2016|15:00|PG2|16|GB02|02|||||||||||||PG2-16|722C-G-G2|13/06/2016|15:00|13/06/2016|21:25||4|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SP -  01|8|48|6||L|13/06/2016|10:00|13/06/2016|06:00|13/06/2016|06:00||11/06/2016|07:30|1306||S1|
