1|FTTL|A|DENSO TEN (THAILAND) Limited.|B|BANGPAKONG|BN|1|1B FTTLABNA1833|2018070701|07/07/2018|05:42|07/07/2018|09:55|PSF|07|ED06|01|||||||||||||PSF-07|722E-B-PK|07/07/2018|09:55|07/07/2018|12:30||1|89040-0K010-00|SIREN ASSY  THEFT WARNING|H681|T1-09-C4|10|10|1||F|07/07/2018|05:42|07/07/2018|00:42|07/07/2018|00:42||06/07/2018|07:30|0707|||CB2|
2|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6650|2018070702|07/07/2018|04:23|07/07/2018|08:35|PSA|05|PD02|01|||||||||||||PSA-05|722B-S-S1|07/07/2018|08:35|07/07/2018|10:43||1|86100-0K143-00|RECEIVER ASSY RADIO & NAVIGATION|E453|IP1  - A07|4|12|3||0|07/07/2018|04:23|07/07/2018|00:13|07/07/2018|00:13||06/07/2018|07:30|0707||||
3|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6650|2018070702|07/07/2018|04:23|07/07/2018|08:35|PSA|05|PD02|01|||||||||||||PSA-05|722B-S-S1|07/07/2018|08:35|07/07/2018|10:43||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||0|07/07/2018|04:23|07/07/2018|00:13|07/07/2018|00:13||06/07/2018|07:30|0707||||
4|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6650|2018070702|07/07/2018|04:23|07/07/2018|08:35|PSA|05|PD02|01|||||||||||||PSA-05|722B-S-S1|07/07/2018|08:35|07/07/2018|10:43||3|86120-0KA50-00|RECEIVER ASSY RADIO|A796|IP1  - A07|4|4|1||0|07/07/2018|04:23|07/07/2018|00:13|07/07/2018|00:13||06/07/2018|07:30|0707||||
5|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6650|2018070702|07/07/2018|04:23|07/07/2018|08:35|PSA|05|PD02|01|||||||||||||PSA-05|722B-S-S1|07/07/2018|08:35|07/07/2018|10:43||4|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|20|5||0|07/07/2018|04:23|07/07/2018|00:13|07/07/2018|00:13||06/07/2018|07:30|0707||||
6|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6650|2018070702|07/07/2018|04:23|07/07/2018|08:35|PSA|05|PD02|01|||||||||||||PSA-05|722B-S-S1|07/07/2018|08:35|07/07/2018|10:43||5|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|8|2||0|07/07/2018|04:23|07/07/2018|00:13|07/07/2018|00:13||06/07/2018|07:30|0707||||
7|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6650|2018070702|07/07/2018|04:23|07/07/2018|08:35|PSA|05|PD02|01|||||||||||||PSA-05|722B-S-S1|07/07/2018|08:35|07/07/2018|10:43||6|86120-0KA00-00|RECEIVER ASSY RADIO|A792|PC   -DIRE|4|24|6|||07/07/2018|04:23|07/07/2018|00:13|07/07/2018|00:13||06/07/2018|07:30|0707||||
8|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6376|2018070703|07/07/2018|15:35|07/07/2018|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|07/07/2018|21:06|07/07/2018|22:51||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|36|9|||07/07/2018|15:35|07/07/2018|09:40|07/07/2018|09:40||07/07/2018|07:30|0707||||
9|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6376|2018070703|07/07/2018|15:35|07/07/2018|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|07/07/2018|21:06|07/07/2018|22:51||2|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|A4.SA- R11|4|4|1|||07/07/2018|15:35|07/07/2018|09:40|07/07/2018|09:40||07/07/2018|07:30|0707||||
10|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6376|2018070703|07/07/2018|15:35|07/07/2018|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|07/07/2018|21:06|07/07/2018|22:51||3|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|A4.SA- R11|4|4|1|||07/07/2018|15:35|07/07/2018|09:40|07/07/2018|09:40||07/07/2018|07:30|0707||||
