1|FTTL|A|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C2|1|1C FTTLAC2A0943|2019080101|01/08/2019|13:31|01/08/2019|19:30|PK2|15|KD02|01|||||||||||||PK2-15|722C-C-C2|01/08/2019|19:30|01/08/2019|20:46||1|89040-02070-00|SIREN ASSY  THEFT WARNING|475C|LI   -  07|12|12|1||B|01/08/2019|13:31|01/08/2019|08:38|01/08/2019|08:38||01/08/2019|07:30|0108||||
2|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7960|2019080106|01/08/2019|15:34|01/08/2019|21:06|PPA1|21|CD16|02|||||||||||||PPA1-21|722F-P-P1|01/08/2019|21:06|02/08/2019|02:26||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|32|8||F|01/08/2019|15:34|01/08/2019|09:39|01/08/2019|09:39||01/08/2019|07:30|0108||F1||
3|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7960|2019080106|01/08/2019|15:34|01/08/2019|21:06|PPA1|21|CD16|02|||||||||||||PPA1-21|722F-P-P1|01/08/2019|21:06|02/08/2019|02:26||2|86140-0K570-00|RECEIVER ASSY  RADIO & DISPLAY|H713|SA.R -  12|4|4|1||F|01/08/2019|15:34|01/08/2019|09:39|01/08/2019|09:39||01/08/2019|07:30|0108||F1||
4|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7960|2019080106|01/08/2019|15:34|01/08/2019|21:06|PPA1|21|CD16|02|||||||||||||PPA1-21|722F-P-P1|01/08/2019|21:06|02/08/2019|02:26||3|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|4|1||F|01/08/2019|15:34|01/08/2019|09:39|01/08/2019|09:39||01/08/2019|07:30|0108||F1||
5|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7960|2019080106|01/08/2019|15:34|01/08/2019|21:06|PPA1|21|CD16|02|||||||||||||PPA1-21|722F-P-P1|01/08/2019|21:06|02/08/2019|02:26||4|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|4|1||F|01/08/2019|15:34|01/08/2019|09:39|01/08/2019|09:39||01/08/2019|07:30|0108||F1||
6|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7960|2019080106|01/08/2019|15:34|01/08/2019|21:06|PPA1|21|CD16|02|||||||||||||PPA1-21|722F-P-P1|01/08/2019|21:06|02/08/2019|02:26||5|86100-0K214-00|RECEIVER ASSY  RADIO & NAVIGATION|B037|SA.R -  14|4|4|1||F|01/08/2019|15:34|01/08/2019|09:39|01/08/2019|09:39||01/08/2019|07:30|0108||F1||
7|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8731|2019080107|01/08/2019|15:50|01/08/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|01/08/2019|20:35|02/08/2019|01:15||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|36|9||F|01/08/2019|15:50|01/08/2019|11:40|01/08/2019|11:40||01/08/2019|07:30|0108||F1||
8|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8731|2019080107|01/08/2019|15:50|01/08/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|01/08/2019|20:35|02/08/2019|01:15||2|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|4|1||F|01/08/2019|15:50|01/08/2019|11:40|01/08/2019|11:40||01/08/2019|07:30|0108||F1||
9|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8731|2019080107|01/08/2019|15:50|01/08/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|01/08/2019|20:35|02/08/2019|01:15||3|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|01/08/2019|15:50|01/08/2019|11:40|01/08/2019|11:40||01/08/2019|07:30|0108||F1||
10|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8731|2019080107|01/08/2019|15:50|01/08/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|01/08/2019|20:35|02/08/2019|01:15||4|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|4|1||F|01/08/2019|15:50|01/08/2019|11:40|01/08/2019|11:40||01/08/2019|07:30|0108||F1||
11|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8732|2019080108|01/08/2019|15:50|01/08/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|01/08/2019|20:35|02/08/2019|03:42||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|52|13||F|01/08/2019|15:50|01/08/2019|11:40|01/08/2019|11:40||01/08/2019|07:30|0108||F1||
