1|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|B|BANGPAKONG|BN|1|1B FTTLBBNA0043|2016062701|27/06/2016|21:25|28/06/2016|01:00|PSF|22|EB01|03|||||||||||||PSF-22|722E-B-PK|28/06/2016|01:00|28/06/2016|02:25||1|86160-0K430-00|SPEAKER ASSY  RADIO|H660|M2-12-A1|10|80|8||U|27/06/2016|21:25|27/06/2016|16:25|27/06/2016|16:25||27/06/2016|07:30|2706|||
2|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|XA|1|1G FTTLBXAA0084|2016062701|27/06/2016|09:35|27/06/2016|17:00|PXA|16|WB07|02|||||||||||||PXA-16|722C-G-XA|27/06/2016|17:00|27/06/2016|21:25||1|86160-0K270-00|SPEAKER ASSY  RADIO|L518|C4-09-45|20|80|4||I|27/06/2016|09:35|27/06/2016|05:35|27/06/2016|05:35||24/06/2016|07:30|2706|||
3|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|XA|1|1G FTTLBXAA0084|2016062701|27/06/2016|09:35|27/06/2016|17:00|PXA|16|WB07|02|||||||||||||PXA-16|722C-G-XA|27/06/2016|17:00|27/06/2016|21:25||2|86160-02B00-00|SPEAKER ASSY RADIO|K087|D2-10-21|10|300|30||2|27/06/2016|09:35|27/06/2016|05:35|27/06/2016|05:35||24/06/2016|07:30|2706|||
4|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1817|2016062707|27/06/2016|10:00|27/06/2016|15:00|PG2|14|GB02|02|||||||||||||PG2-14|722C-G-G2|27/06/2016|15:00|27/06/2016|20:08||1|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SM -  01|8|48|6||K|27/06/2016|10:00|27/06/2016|06:00|27/06/2016|06:00||24/06/2016|07:30|2706||S1|
5|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1817|2016062707|27/06/2016|10:00|27/06/2016|15:00|PG2|14|GB02|02|||||||||||||PG2-14|722C-G-G2|27/06/2016|15:00|27/06/2016|20:08||2|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SN -  01|8|48|6||K|27/06/2016|10:00|27/06/2016|06:00|27/06/2016|06:00||24/06/2016|07:30|2706||S1|
6|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1817|2016062707|27/06/2016|10:00|27/06/2016|15:00|PG2|14|GB02|02|||||||||||||PG2-14|722C-G-G2|27/06/2016|15:00|27/06/2016|20:08||3|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SO -  01|8|40|5||L|27/06/2016|10:00|27/06/2016|06:00|27/06/2016|06:00||24/06/2016|07:30|2706||S1|
7|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1817|2016062707|27/06/2016|10:00|27/06/2016|15:00|PG2|14|GB02|02|||||||||||||PG2-14|722C-G-G2|27/06/2016|15:00|27/06/2016|20:08||4|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SP -  01|8|56|7||L|27/06/2016|10:00|27/06/2016|06:00|27/06/2016|06:00||24/06/2016|07:30|2706||S1|
8|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1818|2016062708|27/06/2016|10:00|27/06/2016|15:00|PG2|16|GB02|02|||||||||||||PG2-16|722C-G-G2|27/06/2016|15:00|27/06/2016|21:25||1|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SM -  01|8|40|5||K|27/06/2016|10:00|27/06/2016|06:00|27/06/2016|06:00||24/06/2016|07:30|2706||S1|
9|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1818|2016062708|27/06/2016|10:00|27/06/2016|15:00|PG2|16|GB02|02|||||||||||||PG2-16|722C-G-G2|27/06/2016|15:00|27/06/2016|21:25||2|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SN -  01|8|40|5||K|27/06/2016|10:00|27/06/2016|06:00|27/06/2016|06:00||24/06/2016|07:30|2706||S1|
10|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1818|2016062708|27/06/2016|10:00|27/06/2016|15:00|PG2|16|GB02|02|||||||||||||PG2-16|722C-G-G2|27/06/2016|15:00|27/06/2016|21:25||3|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SO -  01|8|64|8||L|27/06/2016|10:00|27/06/2016|06:00|27/06/2016|06:00||24/06/2016|07:30|2706||S1|
11|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1818|2016062708|27/06/2016|10:00|27/06/2016|15:00|PG2|16|GB02|02|||||||||||||PG2-16|722C-G-G2|27/06/2016|15:00|27/06/2016|21:25||4|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SP -  01|8|48|6||L|27/06/2016|10:00|27/06/2016|06:00|27/06/2016|06:00||24/06/2016|07:30|2706||S1|
