TNTH__1O00009,IMCT,SPIMKD,19-Oct-21,TNTH,1,897534-9392,CMI-017TH,134000-98510101,,7M9A030700,1,1,,,
TNTH__1O00009,IMCT,SPIMKD,19-Oct-21,TNTH,2,897534-9422,CMI-015TH,134000-98310101,,7M9A030800,2,2,,,
