1|FTTL|A|DENSO TEN (THAILAND) Limited.|B|BANGPAKONG|BN|1|1B FTTLABNA1967|2019011801|18/01/2019|11:21|18/01/2019|17:25|PSF|17|ED06|01|||||||||||||PSF-17|722E-B-PK|18/01/2019|17:25|18/01/2019|22:13||1|89040-0K010-00|SIREN ASSY  THEFT WARNING|H681|L1-12-43|10|10|1||G|18/01/2019|11:21|18/01/2019|06:21|18/01/2019|06:21||17/01/2019|07:30|1801|||CB2|
2|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7075|2019011801|18/01/2019|15:34|18/01/2019|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|18/01/2019|21:06|18/01/2019|23:16||1|89040-0K030-00|SIREN ASSY  THEFT WARNING|U365|SW.R -  10|16|32|2||H|18/01/2019|15:34|18/01/2019|09:39|18/01/2019|09:39||18/01/2019|07:30|1801||MX||
3|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7071|2019011803|18/01/2019|15:34|18/01/2019|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|18/01/2019|21:06|18/01/2019|23:16||1|86100-0K144-00|RECEIVER ASSY  RADIO & NAVIGATION|B036|SA.R -  12|4|4|1||F|18/01/2019|15:34|18/01/2019|09:39|18/01/2019|09:39||18/01/2019|07:30|1801||F1||
4|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7071|2019011803|18/01/2019|15:34|18/01/2019|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|18/01/2019|21:06|18/01/2019|23:16||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|24|6||F|18/01/2019|15:34|18/01/2019|09:39|18/01/2019|09:39||18/01/2019|07:30|1801||F1||
5|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7071|2019011803|18/01/2019|15:34|18/01/2019|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|18/01/2019|21:06|18/01/2019|23:16||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|SA.R -  12|4|4|1||F|18/01/2019|15:34|18/01/2019|09:39|18/01/2019|09:39||18/01/2019|07:30|1801||F1||
6|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7071|2019011803|18/01/2019|15:34|18/01/2019|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|18/01/2019|21:06|18/01/2019|23:16||4|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|4|1||F|18/01/2019|15:34|18/01/2019|09:39|18/01/2019|09:39||18/01/2019|07:30|1801||F1||
7|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7071|2019011803|18/01/2019|15:34|18/01/2019|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|18/01/2019|21:06|18/01/2019|23:16||5|86140-0K620-00|RECEIVER ASSY  RADIO & DISPLAY|H714|SA.R -  13|4|4|1||F|18/01/2019|15:34|18/01/2019|09:39|18/01/2019|09:39||18/01/2019|07:30|1801||F1||
8|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7071|2019011803|18/01/2019|15:34|18/01/2019|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|18/01/2019|21:06|18/01/2019|23:16||6|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|SA.R -  13|4|4|1||F|18/01/2019|15:34|18/01/2019|09:39|18/01/2019|09:39||18/01/2019|07:30|1801||F1||
9|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7071|2019011803|18/01/2019|15:34|18/01/2019|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|18/01/2019|21:06|18/01/2019|23:16||7|86120-0KA42-00|RECEIVER ASSY  RADIO|V883|SA.R -  14|4|4|1||F|18/01/2019|15:34|18/01/2019|09:39|18/01/2019|09:39||18/01/2019|07:30|1801||F1||
10|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7072|2019011804|18/01/2019|15:34|18/01/2019|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|18/01/2019|21:06|19/01/2019|04:56||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|60|15||F|18/01/2019|15:34|18/01/2019|09:39|18/01/2019|09:39||18/01/2019|07:30|1801||F1||
11|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7072|2019011804|18/01/2019|15:34|18/01/2019|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|18/01/2019|21:06|19/01/2019|04:56||2|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|SA.R -  12|4|8|2||F|18/01/2019|15:34|18/01/2019|09:39|18/01/2019|09:39||18/01/2019|07:30|1801||F1||
