1|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|B|BANGPAKONG|BN|1|1B FTTLABNA1515|2016112901|29/11/2016|20:55|30/11/2016|00:50|PSF|22|ED06|02|||||||||||||PSF-22|722E-B-PK|30/11/2016|00:50|30/11/2016|02:25||1|89040-0K010-00|SIREN ASSY  THEFT WARNING|H681|L1-04-A4|10|20|2||V|29/11/2016|20:55|29/11/2016|15:55|29/11/2016|15:55||29/11/2016|07:30|2911|||CB2|
2|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|OB|1|1P FTTLAOBA0514|2016112901|29/11/2016|13:40|29/11/2016|21:10|CD16|02|CD16|02|||||||||||||CD16-02||29/11/2016|21:10||||1|PZ071-00A39-1C|RECEIVER ASSY  RADIO|J742|A4.SA- R11|4|4|1|||29/11/2016|13:40|29/11/2016|07:45|29/11/2016|07:45||29/11/2016|07:30|2911||||
3|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|OB|1|1P FTTLAOBA0514|2016112901|29/11/2016|13:40|29/11/2016|21:10|CD16|02|CD16|02|||||||||||||CD16-02||29/11/2016|21:10||||2|PC600-0K01G-00|MANUAL OWNERS|J743|O3.SI- R07|10|10|1|||29/11/2016|13:40|29/11/2016|07:45|29/11/2016|07:45||29/11/2016|07:30|2911||||
4|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4227|2016112905|29/11/2016|09:05|29/11/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|29/11/2016|15:45|29/11/2016|22:13||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|A    - 09.|4|28|7||B|29/11/2016|09:05|29/11/2016|04:55|29/11/2016|04:55||28/11/2016|07:30|2911||||
5|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4227|2016112905|29/11/2016|09:05|29/11/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|29/11/2016|15:45|29/11/2016|22:13||2|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|B    - 02.|4|8|2||B|29/11/2016|09:05|29/11/2016|04:55|29/11/2016|04:55||28/11/2016|07:30|2911||||
6|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4227|2016112905|29/11/2016|09:05|29/11/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|29/11/2016|15:45|29/11/2016|22:13||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|C    - 09.|4|4|1||B|29/11/2016|09:05|29/11/2016|04:55|29/11/2016|04:55||28/11/2016|07:30|2911||||
7|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4227|2016112905|29/11/2016|09:05|29/11/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|29/11/2016|15:45|29/11/2016|22:13||4|86100-0K142-00|RECEIVER ASSY RADIO & NAVIGATION|D860|IP1  - A03|4|4|1||B|29/11/2016|09:05|29/11/2016|04:55|29/11/2016|04:55||28/11/2016|07:30|2911||||
8|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4227|2016112905|29/11/2016|09:05|29/11/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|29/11/2016|15:45|29/11/2016|22:13||5|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1. - A08|4|4|1||B|29/11/2016|09:05|29/11/2016|04:55|29/11/2016|04:55||28/11/2016|07:30|2911||||
9|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4446|2016112906|29/11/2016|13:40|29/11/2016|21:10|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|29/11/2016|21:10|29/11/2016|23:01||1|86100-0K142-00|RECEIVER ASSY  RADIO & NAVIGATION|K029|A4.SA- R11|4|8|2||3|29/11/2016|13:40|29/11/2016|07:45|29/11/2016|07:45||29/11/2016|07:30|2911||||
10|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4446|2016112906|29/11/2016|13:40|29/11/2016|21:10|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|29/11/2016|21:10|29/11/2016|23:01||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|16|4||3|29/11/2016|13:40|29/11/2016|07:45|29/11/2016|07:45||29/11/2016|07:30|2911||||
11|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4446|2016112906|29/11/2016|13:40|29/11/2016|21:10|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|29/11/2016|21:10|29/11/2016|23:01||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|A4.SA- R11|4|4|1||3|29/11/2016|13:40|29/11/2016|07:45|29/11/2016|07:45||29/11/2016|07:30|2911||||
