TNTH__3700008,IMCT,SPIMIT,7-Aug-23,TNTH,1,897492-2401,CMI-008TH,134000-96911101,,2P7A307500,2,2,,,
TNTH__3700008,IMCT,SPIMIT,7-Aug-23,TNTH,2,897537-9231,PWI-004TH,111135-00110101,,2P7A073200,2,2,,,
TNTH__3700009,IMCT,SPTISM,7-Aug-23,TNTH,1,898396-2911,PWI-001TH,161114-0160A101,,1P7A761800,1,1,,,
