1|FTTL|1|DENSO TEN (THAILAND) LIMITED. (PIO)|G|GATEWAY|OG|1|1G FTTL1OGA3201|2022111601|15/11/2022|20:48|16/11/2022|03:45|PG2|12|GD04|04|||||||||||||PG2-12|722C-G-G2|16/11/2022|03:45|16/11/2022|13:21||1|P2600-0D003-00|MANUAL  OWNERS(RADIO)|4A74|ZC   -   9|30|60|2|||15/11/2022|20:48|15/11/2022|01:48|15/11/2022|01:48||14/11/2022|07:30|1611|2|||
2|FTTL|1|DENSO TEN (THAILAND) LIMITED. (PIO)|G|GATEWAY|OG|1|1G FTTL1OGA3201|2022111601|15/11/2022|20:48|16/11/2022|03:45|PG2|12|GD04|04|||||||||||||PG2-12|722C-G-G2|16/11/2022|03:45|16/11/2022|13:21||2|PC5C2-BY001-00|TRANSCEIVER  TELEPHONE|7U62|ZI   -  12|10|120|12|||15/11/2022|20:48|15/11/2022|01:48|15/11/2022|01:48||14/11/2022|07:30|1611||||
3|FTTL|1|DENSO TEN (THAILAND) LIMITED. (PIO)|G|GATEWAY|OG|1|1G FTTL1OGA3201|2022111601|15/11/2022|20:48|16/11/2022|03:45|PG2|12|GD04|04|||||||||||||PG2-12|722C-G-G2|16/11/2022|03:45|16/11/2022|13:21||3|P2600-0D001-00|RECEIVER ASSY  RADIO & DISPLAY  E-DA|49A2|ZK   -  02|4|32|8|||15/11/2022|20:48|15/11/2022|01:48|15/11/2022|01:48||14/11/2022|07:30|1611|2|||
4|FTTL|1|DENSO TEN (THAILAND) LIMITED. (PIO)|G|GATEWAY|OW|1|1G FTTL1OWA1670|2022111601|12/11/2022|00:00|16/11/2022|10:30|-|-||||||||||||||||||||||1|P2600-0D007-T2|RECEIVER ASSY, RADIO&DISPLAY,EDA|1||3|6|2|||16/11/2022|10:30|15/11/2022|17:00|15/11/2022|17:00||12/11/2022|17:00|||||
5|FTTL|1|DENSO TEN (THAILAND) LIMITED. (PIO)|G|GATEWAY|OG|1|1G FTTL1OGA3202|2022111602|16/11/2022|13:07|16/11/2022|21:24|PG2|30|GD04|03|||||||||||||PG2-30|722C-G-G2|16/11/2022|21:24|17/11/2022|01:21||1|PC5C2-BY001-00|TRANSCEIVER  TELEPHONE|7U62|ZI   -  12|10|60|6|||16/11/2022|13:07|15/11/2022|18:07|15/11/2022|18:07||15/11/2022|07:30|1611||||
6|FTTL|1|DENSO TEN (THAILAND) LIMITED. (PIO)|G|GATEWAY|OG|1|1G FTTL1OGA3203|2022111701|16/11/2022|20:48|17/11/2022|03:45|PG2|12|GD04|04|||||||||||||PG2-12|722C-G-G2|17/11/2022|03:45|17/11/2022|13:21||1|P2600-0D003-00|MANUAL  OWNERS(RADIO)|4A74|ZC   -   9|30|30|1|||16/11/2022|20:48|16/11/2022|01:48|16/11/2022|01:48||15/11/2022|07:30|1711|2|||
7|FTTL|1|DENSO TEN (THAILAND) LIMITED. (PIO)|G|GATEWAY|OG|1|1G FTTL1OGA3203|2022111701|16/11/2022|20:48|17/11/2022|03:45|PG2|12|GD04|04|||||||||||||PG2-12|722C-G-G2|17/11/2022|03:45|17/11/2022|13:21||2|PC5C2-BY001-00|TRANSCEIVER  TELEPHONE|7U62|ZI   -  12|10|120|12|||16/11/2022|20:48|16/11/2022|01:48|16/11/2022|01:48||15/11/2022|07:30|1711||||
8|FTTL|1|DENSO TEN (THAILAND) LIMITED. (PIO)|G|GATEWAY|OG|1|1G FTTL1OGA3203|2022111701|16/11/2022|20:48|17/11/2022|03:45|PG2|12|GD04|04|||||||||||||PG2-12|722C-G-G2|17/11/2022|03:45|17/11/2022|13:21||3|P2600-0D001-00|RECEIVER ASSY  RADIO & DISPLAY  E-DA|49A2|ZK   -  02|4|36|9|||16/11/2022|20:48|16/11/2022|01:48|16/11/2022|01:48||15/11/2022|07:30|1711|2|||
9|FTTL|1|DENSO TEN (THAILAND) LIMITED. (PIO)|G|GATEWAY|OW|1|1G FTTL1OWA1671|2022111701|14/11/2022|00:00|17/11/2022|10:30|-|-||||||||||||||||||||||1|P2600-0D004-T2|RECEIVER ASSY, RADIO&DISPLAY,EDA|1||3|3|1|||17/11/2022|10:30|16/11/2022|17:00|16/11/2022|17:00||14/11/2022|17:01|||||
10|FTTL|1|DENSO TEN (THAILAND) LIMITED. (PIO)|G|GATEWAY|OW|1|1G FTTL1OWA1671|2022111701|14/11/2022|00:00|17/11/2022|10:30|-|-||||||||||||||||||||||2|P2600-0D007-T2|RECEIVER ASSY, RADIO&DISPLAY,EDA|1||3|3|1|||17/11/2022|10:30|16/11/2022|17:00|16/11/2022|17:00||14/11/2022|17:01|||||
