1|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|B|BANGPAKONG|BN|1|1B FTTLBBNA0038|2016062001|20/06/2016|21:25|21/06/2016|01:00|PSF|22|EB01|03|||||||||||||PSF-22|722E-B-PK|21/06/2016|01:00|21/06/2016|02:25||1|86160-0K430-00|SPEAKER ASSY  RADIO|H660|M2-12-11|10|120|12||U|20/06/2016|21:25|20/06/2016|16:25|20/06/2016|16:25||20/06/2016|07:30|2006|||
2|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|XA|1|1G FTTLBXAA0079|2016062001|20/06/2016|09:35|20/06/2016|17:00|PXA|16|WB07|02|||||||||||||PXA-16|722C-G-XA|20/06/2016|17:00|20/06/2016|21:25||1|86160-0K270-00|SPEAKER ASSY  RADIO|L518|C4-09-45|20|60|3||I|20/06/2016|09:35|20/06/2016|05:35|20/06/2016|05:35||17/06/2016|07:30|2006|||
3|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|XA|1|1G FTTLBXAA0079|2016062001|20/06/2016|09:35|20/06/2016|17:00|PXA|16|WB07|02|||||||||||||PXA-16|722C-G-XA|20/06/2016|17:00|20/06/2016|21:25||2|86160-02B00-00|SPEAKER ASSY RADIO|K087|D2-10-21|10|300|30||2|20/06/2016|09:35|20/06/2016|05:35|20/06/2016|05:35||17/06/2016|07:30|2006|||
4|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1767|2016062007|20/06/2016|10:00|20/06/2016|15:00|PG2|14|GB02|02|||||||||||||PG2-14|722C-G-G2|20/06/2016|15:00|20/06/2016|20:08||1|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SM -  01|8|40|5||K|20/06/2016|10:00|20/06/2016|06:00|20/06/2016|06:00||17/06/2016|07:30|2006||S1|
5|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1767|2016062007|20/06/2016|10:00|20/06/2016|15:00|PG2|14|GB02|02|||||||||||||PG2-14|722C-G-G2|20/06/2016|15:00|20/06/2016|20:08||2|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SN -  01|8|48|6||K|20/06/2016|10:00|20/06/2016|06:00|20/06/2016|06:00||17/06/2016|07:30|2006||S1|
6|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1767|2016062007|20/06/2016|10:00|20/06/2016|15:00|PG2|14|GB02|02|||||||||||||PG2-14|722C-G-G2|20/06/2016|15:00|20/06/2016|20:08||3|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SO -  01|8|56|7||L|20/06/2016|10:00|20/06/2016|06:00|20/06/2016|06:00||17/06/2016|07:30|2006||S1|
7|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1767|2016062007|20/06/2016|10:00|20/06/2016|15:00|PG2|14|GB02|02|||||||||||||PG2-14|722C-G-G2|20/06/2016|15:00|20/06/2016|20:08||4|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SP -  01|8|48|6||L|20/06/2016|10:00|20/06/2016|06:00|20/06/2016|06:00||17/06/2016|07:30|2006||S1|
8|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1768|2016062008|20/06/2016|10:00|20/06/2016|15:00|PG2|16|GB02|02|||||||||||||PG2-16|722C-G-G2|20/06/2016|15:00|20/06/2016|21:25||1|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SM -  01|8|48|6||K|20/06/2016|10:00|20/06/2016|06:00|20/06/2016|06:00||17/06/2016|07:30|2006||S1|
9|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1768|2016062008|20/06/2016|10:00|20/06/2016|15:00|PG2|16|GB02|02|||||||||||||PG2-16|722C-G-G2|20/06/2016|15:00|20/06/2016|21:25||2|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SN -  01|8|40|5||K|20/06/2016|10:00|20/06/2016|06:00|20/06/2016|06:00||17/06/2016|07:30|2006||S1|
10|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1768|2016062008|20/06/2016|10:00|20/06/2016|15:00|PG2|16|GB02|02|||||||||||||PG2-16|722C-G-G2|20/06/2016|15:00|20/06/2016|21:25||3|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SO -  01|8|48|6||L|20/06/2016|10:00|20/06/2016|06:00|20/06/2016|06:00||17/06/2016|07:30|2006||S1|
11|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1768|2016062008|20/06/2016|10:00|20/06/2016|15:00|PG2|16|GB02|02|||||||||||||PG2-16|722C-G-G2|20/06/2016|15:00|20/06/2016|21:25||4|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SP -  01|8|56|7||L|20/06/2016|10:00|20/06/2016|06:00|20/06/2016|06:00||17/06/2016|07:30|2006||S1|
