1|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|B|BANGPAKONG|BN|1|1B FTTLABNA1496|2016110301|03/11/2016|20:55|04/11/2016|00:50|PSF|22|ED06|02|||||||||||||PSF-22|722E-B-PK|04/11/2016|00:50|04/11/2016|02:25||1|89040-0K010-00|SIREN ASSY  THEFT WARNING|H681|L1-04-A4|10|20|2||V|03/11/2016|20:55|03/11/2016|15:55|03/11/2016|15:55||03/11/2016|07:30|0311|||CB2|
2|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4293|2016110305|03/11/2016|08:15|03/11/2016|14:40|PPA1|20|CD16|01|||||||||||||PPA1-20|722F-P-P1|03/11/2016|14:40|03/11/2016|20:56||1|86100-0K142-00|RECEIVER ASSY  RADIO & NAVIGATION|K029|A4.SA- R11|4|4|1||3|03/11/2016|08:15|03/11/2016|02:20|03/11/2016|02:20||02/11/2016|07:30|0311||||
3|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4293|2016110305|03/11/2016|08:15|03/11/2016|14:40|PPA1|20|CD16|01|||||||||||||PPA1-20|722F-P-P1|03/11/2016|14:40|03/11/2016|20:56||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|36|9||3|03/11/2016|08:15|03/11/2016|02:20|03/11/2016|02:20||02/11/2016|07:30|0311||||
4|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4293|2016110305|03/11/2016|08:15|03/11/2016|14:40|PPA1|20|CD16|01|||||||||||||PPA1-20|722F-P-P1|03/11/2016|14:40|03/11/2016|20:56||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|A4.SA- R11|4|4|1||3|03/11/2016|08:15|03/11/2016|02:20|03/11/2016|02:20||02/11/2016|07:30|0311||||
5|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4293|2016110305|03/11/2016|08:15|03/11/2016|14:40|PPA1|20|CD16|01|||||||||||||PPA1-20|722F-P-P1|03/11/2016|14:40|03/11/2016|20:56||4|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|A4.SA- R11|4|4|1||3|03/11/2016|08:15|03/11/2016|02:20|03/11/2016|02:20||02/11/2016|07:30|0311||||
6|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4293|2016110305|03/11/2016|08:15|03/11/2016|14:40|PPA1|20|CD16|01|||||||||||||PPA1-20|722F-P-P1|03/11/2016|14:40|03/11/2016|20:56||5|86140-0K620-00|RECEIVER ASSY  RADIO & DISPLAY|H714|A4.SA- R11|4|4|1||3|03/11/2016|08:15|03/11/2016|02:20|03/11/2016|02:20||02/11/2016|07:30|0311||||
7|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4112|2016110305|03/11/2016|09:05|03/11/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|03/11/2016|15:45|03/11/2016|22:13||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|A    - 09.|4|28|7||B|03/11/2016|09:05|03/11/2016|04:55|03/11/2016|04:55||02/11/2016|07:30|0311||||
8|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4112|2016110305|03/11/2016|09:05|03/11/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|03/11/2016|15:45|03/11/2016|22:13||2|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|B    - 02.|4|4|1||B|03/11/2016|09:05|03/11/2016|04:55|03/11/2016|04:55||02/11/2016|07:30|0311||||
9|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4112|2016110305|03/11/2016|09:05|03/11/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|03/11/2016|15:45|03/11/2016|22:13||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|C    - 09.|4|4|1||B|03/11/2016|09:05|03/11/2016|04:55|03/11/2016|04:55||02/11/2016|07:30|0311||||
10|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4112|2016110305|03/11/2016|09:05|03/11/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|03/11/2016|15:45|03/11/2016|22:13||4|86100-0K142-00|RECEIVER ASSY RADIO & NAVIGATION|D860|IP1. - A03|4|4|1||B|03/11/2016|09:05|03/11/2016|04:55|03/11/2016|04:55||02/11/2016|07:30|0311||||
11|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4112|2016110305|03/11/2016|09:05|03/11/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|03/11/2016|15:45|03/11/2016|22:13||5|86120-0KA41-00|RECEIVER ASSY RADIO|D885|IP1. - A03|4|4|1||B|03/11/2016|09:05|03/11/2016|04:55|03/11/2016|04:55||02/11/2016|07:30|0311||||
