1|FTTL|A|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C2|1|1C FTTLAC2A1041|2020022701|27/02/2020|10:34|27/02/2020|14:12|PK2|11|KD02|01|||||||||||||PK2-11|722C-C-C2|27/02/2020|14:12|27/02/2020|20:47||1|89040-02070-00|SIREN ASSY  THEFT WARNING|475C|LJ   -  06|12|12|1||B|27/02/2020|10:34|27/02/2020|05:41|27/02/2020|05:41||26/02/2020|07:30|2702||||
2|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8700|2020022703|27/02/2020|09:10|27/02/2020|17:05|PPA1|18|CD16|01|||||||||||||PPA1-18|722F-P-P1|27/02/2020|17:05|27/02/2020|22:51||1|86100-0K145-00|RECEIVER ASSY  RADIO & NAVIGATION|J278|SA.R -  12|4|4|1||F|27/02/2020|09:10|27/02/2020|03:15|27/02/2020|03:15||26/02/2020|07:30|2702|2|F1||
3|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8700|2020022703|27/02/2020|09:10|27/02/2020|17:05|PPA1|18|CD16|01|||||||||||||PPA1-18|722F-P-P1|27/02/2020|17:05|27/02/2020|22:51||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|52|13||F|27/02/2020|09:10|27/02/2020|03:15|27/02/2020|03:15||26/02/2020|07:30|2702|2|F1||
4|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8700|2020022703|27/02/2020|09:10|27/02/2020|17:05|PPA1|18|CD16|01|||||||||||||PPA1-18|722F-P-P1|27/02/2020|17:05|27/02/2020|22:51||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|SA.R -  12|4|4|1||F|27/02/2020|09:10|27/02/2020|03:15|27/02/2020|03:15||26/02/2020|07:30|2702|2|F1||
5|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8700|2020022703|27/02/2020|09:10|27/02/2020|17:05|PPA1|18|CD16|01|||||||||||||PPA1-18|722F-P-P1|27/02/2020|17:05|27/02/2020|22:51||4|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|4|1||F|27/02/2020|09:10|27/02/2020|03:15|27/02/2020|03:15||26/02/2020|07:30|2702|2|F1||
6|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8700|2020022703|27/02/2020|09:10|27/02/2020|17:05|PPA1|18|CD16|01|||||||||||||PPA1-18|722F-P-P1|27/02/2020|17:05|27/02/2020|22:51||5|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|SA.R -  13|4|4|1||F|27/02/2020|09:10|27/02/2020|03:15|27/02/2020|03:15||26/02/2020|07:30|2702|2|F1||
7|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8700|2020022703|27/02/2020|09:10|27/02/2020|17:05|PPA1|18|CD16|01|||||||||||||PPA1-18|722F-P-P1|27/02/2020|17:05|27/02/2020|22:51||6|86100-0K215-00|RECEIVER ASSY  RADIO & NAVIGATION|J279|SA.R -  14|4|4|1||F|27/02/2020|09:10|27/02/2020|03:15|27/02/2020|03:15||26/02/2020|07:30|2702|2|F1||
8|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8701|2020022704|27/02/2020|09:10|27/02/2020|17:05|PPA1|24|CD16|01|||||||||||||PPA1-24|722F-P-P1|27/02/2020|17:05|28/02/2020|03:51||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|48|12||F|27/02/2020|09:10|27/02/2020|03:15|27/02/2020|03:15||26/02/2020|07:30|2702|2|F1||
9|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8701|2020022704|27/02/2020|09:10|27/02/2020|17:05|PPA1|24|CD16|01|||||||||||||PPA1-24|722F-P-P1|27/02/2020|17:05|28/02/2020|03:51||2|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|SA.R -  12|4|4|1||F|27/02/2020|09:10|27/02/2020|03:15|27/02/2020|03:15||26/02/2020|07:30|2702|2|F1||
10|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8701|2020022704|27/02/2020|09:10|27/02/2020|17:05|PPA1|24|CD16|01|||||||||||||PPA1-24|722F-P-P1|27/02/2020|17:05|28/02/2020|03:51||3|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|4|1||F|27/02/2020|09:10|27/02/2020|03:15|27/02/2020|03:15||26/02/2020|07:30|2702|2|F1||
11|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8701|2020022704|27/02/2020|09:10|27/02/2020|17:05|PPA1|24|CD16|01|||||||||||||PPA1-24|722F-P-P1|27/02/2020|17:05|28/02/2020|03:51||4|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|4|1||F|27/02/2020|09:10|27/02/2020|03:15|27/02/2020|03:15||26/02/2020|07:30|2702|2|F1||
12|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8701|2020022704|27/02/2020|09:10|27/02/2020|17:05|PPA1|24|CD16|01|||||||||||||PPA1-24|722F-P-P1|27/02/2020|17:05|28/02/2020|03:51||5|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|SA.R -  13|4|8|2||F|27/02/2020|09:10|27/02/2020|03:15|27/02/2020|03:15||26/02/2020|07:30|2702|2|F1||
13|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8701|2020022704|27/02/2020|09:10|27/02/2020|17:05|PPA1|24|CD16|01|||||||||||||PPA1-24|722F-P-P1|27/02/2020|17:05|28/02/2020|03:51||6|86100-0K103-00|RECEIVER ASSY  RADIO & NAVIGATION|J280|SA.R -  14|4|4|1||F|27/02/2020|09:10|27/02/2020|03:15|27/02/2020|03:15||26/02/2020|07:30|2702|2|F1||
14|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9898|2020022707|27/02/2020|15:33|27/02/2020|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|27/02/2020|20:35|28/02/2020|00:30||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|24|6||F|27/02/2020|15:33|27/02/2020|11:23|27/02/2020|11:23||27/02/2020|07:30|2702|2|F1||
15|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9898|2020022707|27/02/2020|15:33|27/02/2020|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|27/02/2020|20:35|28/02/2020|00:30||2|86120-0KA50-00|RECEIVER ASSY RADIO|A796|IP1  - A07|4|4|1||F|27/02/2020|15:33|27/02/2020|11:23|27/02/2020|11:23||27/02/2020|07:30|2702|2|F1||
16|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9898|2020022707|27/02/2020|15:33|27/02/2020|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|27/02/2020|20:35|28/02/2020|00:30||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|8|2||F|27/02/2020|15:33|27/02/2020|11:23|27/02/2020|11:23||27/02/2020|07:30|2702|2|F1||
17|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9898|2020022707|27/02/2020|15:33|27/02/2020|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|27/02/2020|20:35|28/02/2020|00:30||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|27/02/2020|15:33|27/02/2020|11:23|27/02/2020|11:23||27/02/2020|07:30|2702|2|F1||
18|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9898|2020022707|27/02/2020|15:33|27/02/2020|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|27/02/2020|20:35|28/02/2020|00:30||5|86100-0K145-00|RECEIVER ASSY RADIO & NAVIGATION|F790|IP1  - A08|4|8|2||F|27/02/2020|15:33|27/02/2020|11:23|27/02/2020|11:23||27/02/2020|07:30|2702|2|F1||
19|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9899|2020022708|27/02/2020|15:33|27/02/2020|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|27/02/2020|20:35|28/02/2020|02:25||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|32|8||F|27/02/2020|15:33|27/02/2020|11:23|27/02/2020|11:23||27/02/2020|07:30|2702|2|F1||
20|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9899|2020022708|27/02/2020|15:33|27/02/2020|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|27/02/2020|20:35|28/02/2020|02:25||2|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|8|2||F|27/02/2020|15:33|27/02/2020|11:23|27/02/2020|11:23||27/02/2020|07:30|2702|2|F1||
21|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9899|2020022708|27/02/2020|15:33|27/02/2020|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|27/02/2020|20:35|28/02/2020|02:25||3|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|27/02/2020|15:33|27/02/2020|11:23|27/02/2020|11:23||27/02/2020|07:30|2702|2|F1||
22|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9899|2020022708|27/02/2020|15:33|27/02/2020|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|27/02/2020|20:35|28/02/2020|02:25||4|86100-0K145-00|RECEIVER ASSY RADIO & NAVIGATION|F790|IP1  - A08|4|4|1||F|27/02/2020|15:33|27/02/2020|11:23|27/02/2020|11:23||27/02/2020|07:30|2702|2|F1||
23|FTTL|A|DENSO TEN (THAILAND) Limited.|B|BANGPAKONG|BN|1|1B FTTLABNA2252|2020022801|28/02/2020|00:35|28/02/2020|04:02|PSF|05|ED06|01|||||||||||||PSF-05|722E-B-PK|28/02/2020|04:02|28/02/2020|10:13||1|89040-0K030-00|SIREN ASSY  THEFT WARNING|I257|DIRECT|10|30|3||Z|28/02/2020|00:35|27/02/2020|04:35|27/02/2020|04:35||26/02/2020|07:30|2802|||CB2|
24|FTTL|A|DENSO TEN (THAILAND) Limited.|B|BANGPAKONG|BN|1|1B FTTLABNA2252|2020022801|28/02/2020|00:35|28/02/2020|04:02|PSF|05|ED06|01|||||||||||||PSF-05|722E-B-PK|28/02/2020|04:02|28/02/2020|10:13||2|89040-0K010-00|SIREN ASSY  THEFT WARNING|H681|L2-02-34|10|10|1||E|28/02/2020|00:35|27/02/2020|04:35|27/02/2020|04:35||26/02/2020|07:30|2802|||CB2|
25|FTTL|A|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C2|1|1C FTTLAC2A1042|2020022801|28/02/2020|10:34|28/02/2020|14:12|PK2|11|KD02|01|||||||||||||PK2-11|722C-C-C2|28/02/2020|14:12|28/02/2020|20:47||1|89040-02070-00|SIREN ASSY  THEFT WARNING|475C|LJ   -  06|12|12|1||B|28/02/2020|10:34|28/02/2020|05:41|28/02/2020|05:41||27/02/2020|07:30|2802||||
26|FTTL|A|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C2|1|1C FTTLAC2A1042|2020022801|28/02/2020|10:34|28/02/2020|14:12|PK2|11|KD02|01|||||||||||||PK2-11|722C-C-C2|28/02/2020|14:12|28/02/2020|20:47||2|89040-06010-00|SIREN ASSY  THEFT WARNING|4K09|LJ   -  06|16|16|1||B|28/02/2020|10:34|28/02/2020|05:41|28/02/2020|05:41||27/02/2020|07:30|2802||||
27|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8702|2020022801|27/02/2020|09:10|27/02/2020|17:05|PPA1|06|CD16|01|||||||||||||PPA1-06|722F-P-P1|27/02/2020|17:05|28/02/2020|10:51||1|86100-0K145-00|RECEIVER ASSY  RADIO & NAVIGATION|J278|SA.R -  12|4|4|1||F|27/02/2020|09:10|27/02/2020|03:15|27/02/2020|03:15||26/02/2020|07:30|2802|2|F1||
28|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8702|2020022801|27/02/2020|09:10|27/02/2020|17:05|PPA1|06|CD16|01|||||||||||||PPA1-06|722F-P-P1|27/02/2020|17:05|28/02/2020|10:51||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|48|12||F|27/02/2020|09:10|27/02/2020|03:15|27/02/2020|03:15||26/02/2020|07:30|2802|2|F1||
29|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8702|2020022801|27/02/2020|09:10|27/02/2020|17:05|PPA1|06|CD16|01|||||||||||||PPA1-06|722F-P-P1|27/02/2020|17:05|28/02/2020|10:51||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|SA.R -  12|4|4|1||F|27/02/2020|09:10|27/02/2020|03:15|27/02/2020|03:15||26/02/2020|07:30|2802|2|F1||
30|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8702|2020022801|27/02/2020|09:10|27/02/2020|17:05|PPA1|06|CD16|01|||||||||||||PPA1-06|722F-P-P1|27/02/2020|17:05|28/02/2020|10:51||4|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|4|1||F|27/02/2020|09:10|27/02/2020|03:15|27/02/2020|03:15||26/02/2020|07:30|2802|2|F1||
31|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8702|2020022801|27/02/2020|09:10|27/02/2020|17:05|PPA1|06|CD16|01|||||||||||||PPA1-06|722F-P-P1|27/02/2020|17:05|28/02/2020|10:51||5|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|4|1||F|27/02/2020|09:10|27/02/2020|03:15|27/02/2020|03:15||26/02/2020|07:30|2802|2|F1||
32|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8702|2020022801|27/02/2020|09:10|27/02/2020|17:05|PPA1|06|CD16|01|||||||||||||PPA1-06|722F-P-P1|27/02/2020|17:05|28/02/2020|10:51||6|86100-0K215-00|RECEIVER ASSY  RADIO & NAVIGATION|J279|SA.R -  14|4|4|1||F|27/02/2020|09:10|27/02/2020|03:15|27/02/2020|03:15||26/02/2020|07:30|2802|2|F1||
33|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8702|2020022801|27/02/2020|09:10|27/02/2020|17:05|PPA1|06|CD16|01|||||||||||||PPA1-06|722F-P-P1|27/02/2020|17:05|28/02/2020|10:51||7|86120-0KA42-00|RECEIVER ASSY  RADIO|V883|SA.R -  14|4|4|1||F|27/02/2020|09:10|27/02/2020|03:15|27/02/2020|03:15||26/02/2020|07:30|2802|2|F1||
34|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8704|2020022801|27/02/2020|09:10|27/02/2020|17:05|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|27/02/2020|17:05|28/02/2020|15:51||1|89040-0K030-00|SIREN ASSY  THEFT WARNING|U365|SW.L -  13|16|16|1||H|27/02/2020|09:10|27/02/2020|03:15|27/02/2020|03:15||26/02/2020|07:30|2802||MS||
35|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9900|2020022801|27/02/2020|15:33|27/02/2020|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|27/02/2020|20:35|28/02/2020|07:30||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|20|5||F|27/02/2020|15:33|27/02/2020|11:23|27/02/2020|11:23||27/02/2020|07:30|2802|2|F1||
36|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9900|2020022801|27/02/2020|15:33|27/02/2020|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|27/02/2020|20:35|28/02/2020|07:30||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||F|27/02/2020|15:33|27/02/2020|11:23|27/02/2020|11:23||27/02/2020|07:30|2802|2|F1||
37|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9900|2020022801|27/02/2020|15:33|27/02/2020|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|27/02/2020|20:35|28/02/2020|07:30||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|8|2||F|27/02/2020|15:33|27/02/2020|11:23|27/02/2020|11:23||27/02/2020|07:30|2802|2|F1||
38|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9900|2020022801|27/02/2020|15:33|27/02/2020|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|27/02/2020|20:35|28/02/2020|07:30||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|8|2||F|27/02/2020|15:33|27/02/2020|11:23|27/02/2020|11:23||27/02/2020|07:30|2802|2|F1||
39|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9900|2020022801|27/02/2020|15:33|27/02/2020|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|27/02/2020|20:35|28/02/2020|07:30||5|86100-0K145-00|RECEIVER ASSY RADIO & NAVIGATION|F790|IP1  - A08|4|8|2||F|27/02/2020|15:33|27/02/2020|11:23|27/02/2020|11:23||27/02/2020|07:30|2802|2|F1||
40|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8703|2020022802|27/02/2020|09:10|27/02/2020|17:05|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|27/02/2020|17:05|28/02/2020|15:51||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|28|7||F|27/02/2020|09:10|27/02/2020|03:15|27/02/2020|03:15||26/02/2020|07:30|2802|2|F1||
41|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8703|2020022802|27/02/2020|09:10|27/02/2020|17:05|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|27/02/2020|17:05|28/02/2020|15:51||2|86140-0KA70-00|RECEIVER ASSY  RADIO & DISPLAY|H704|SA.R -  12|4|4|1||F|27/02/2020|09:10|27/02/2020|03:15|27/02/2020|03:15||26/02/2020|07:30|2802|2|F1||
