14|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7196|2019022204|22/02/2019|15:34|22/02/2019|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|22/02/2019|21:06|23/02/2019|04:56||7|86100-0K102-00|RECEIVER ASSY  RADIO & NAVIGATION|B035|SA.R -  14|4|4|1||F|22/02/2019|15:34|22/02/2019|09:39|22/02/2019|09:39||22/02/2019|07:30|2202||F1||
15|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7196|2019022204|22/02/2019|15:34|22/02/2019|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|22/02/2019|21:06|23/02/2019|04:56||8|86100-0K214-00|RECEIVER ASSY  RADIO & NAVIGATION|B037|SA.R -  14|4|4|1||F|22/02/2019|15:34|22/02/2019|09:39|22/02/2019|09:39||22/02/2019|07:30|2202||F1||
16|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7196|2019022204|22/02/2019|15:34|22/02/2019|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|22/02/2019|21:06|23/02/2019|04:56||9|86120-0KA42-00|RECEIVER ASSY  RADIO|V883|SA.R -  14|4|4|1||F|22/02/2019|15:34|22/02/2019|09:39|22/02/2019|09:39||22/02/2019|07:30|2202||F1||
17|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7196|2019022204|22/02/2019|15:34|22/02/2019|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|22/02/2019|21:06|23/02/2019|04:56||10|86120-0KC40-00|RECEIVER ASSY  RADIO|H561|SA.R -  14|4|4|1||F|22/02/2019|15:34|22/02/2019|09:39|22/02/2019|09:39||22/02/2019|07:30|2202|2|F1||
18|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7837|2019022207|22/02/2019|15:08|22/02/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|22/02/2019|20:35|23/02/2019|00:30||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|40|10||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2202||||
19|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7837|2019022207|22/02/2019|15:08|22/02/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|22/02/2019|20:35|23/02/2019|00:30||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2202||||
20|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7837|2019022207|22/02/2019|15:08|22/02/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|22/02/2019|20:35|23/02/2019|00:30||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|8|2||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2202||||
21|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7837|2019022207|22/02/2019|15:08|22/02/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|22/02/2019|20:35|23/02/2019|00:30||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|8|2||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2202||||
22|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7837|2019022207|22/02/2019|15:08|22/02/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|22/02/2019|20:35|23/02/2019|00:30||5|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|12|3||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2202||||
23|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7838|2019022208|22/02/2019|15:08|22/02/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|22/02/2019|20:35|23/02/2019|02:25||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|20|5||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2202||||
