14|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8603|2019070807|08/07/2019|15:50|08/07/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|08/07/2019|20:35|09/07/2019|01:15||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|32|8||F|08/07/2019|15:50|08/07/2019|11:40|08/07/2019|11:40||08/07/2019|07:30|0807||F1||
15|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8603|2019070807|08/07/2019|15:50|08/07/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|08/07/2019|20:35|09/07/2019|01:15||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||F|08/07/2019|15:50|08/07/2019|11:40|08/07/2019|11:40||08/07/2019|07:30|0807||F1||
16|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8603|2019070807|08/07/2019|15:50|08/07/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|08/07/2019|20:35|09/07/2019|01:15||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|4|1||F|08/07/2019|15:50|08/07/2019|11:40|08/07/2019|11:40||08/07/2019|07:30|0807||F1||
17|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8603|2019070807|08/07/2019|15:50|08/07/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|08/07/2019|20:35|09/07/2019|01:15||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|08/07/2019|15:50|08/07/2019|11:40|08/07/2019|11:40||08/07/2019|07:30|0807||F1||
18|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8603|2019070807|08/07/2019|15:50|08/07/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|08/07/2019|20:35|09/07/2019|01:15||5|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|4|1||F|08/07/2019|15:50|08/07/2019|11:40|08/07/2019|11:40||08/07/2019|07:30|0807||F1||
19|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8604|2019070808|08/07/2019|15:50|08/07/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|08/07/2019|20:35|09/07/2019|03:42||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|32|8||F|08/07/2019|15:50|08/07/2019|11:40|08/07/2019|11:40||08/07/2019|07:30|0807||F1||
20|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8604|2019070808|08/07/2019|15:50|08/07/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|08/07/2019|20:35|09/07/2019|03:42||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||F|08/07/2019|15:50|08/07/2019|11:40|08/07/2019|11:40||08/07/2019|07:30|0807||F1||
21|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8604|2019070808|08/07/2019|15:50|08/07/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|08/07/2019|20:35|09/07/2019|03:42||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|4|1||F|08/07/2019|15:50|08/07/2019|11:40|08/07/2019|11:40||08/07/2019|07:30|0807||F1||
22|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8604|2019070808|08/07/2019|15:50|08/07/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|08/07/2019|20:35|09/07/2019|03:42||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|08/07/2019|15:50|08/07/2019|11:40|08/07/2019|11:40||08/07/2019|07:30|0807||F1||
23|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8604|2019070808|08/07/2019|15:50|08/07/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|08/07/2019|20:35|09/07/2019|03:42||5|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|4|1||F|08/07/2019|15:50|08/07/2019|11:40|08/07/2019|11:40||08/07/2019|07:30|0807||F1||
24|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7851|2019070901|08/07/2019|15:34|08/07/2019|21:06|PPA1|04|CD16|02|||||||||||||PPA1-04|722F-P-P1|08/07/2019|21:06|09/07/2019|09:50||1|86100-0K144-00|RECEIVER ASSY  RADIO & NAVIGATION|B036|SA.R -  12|4|4|1||F|08/07/2019|15:34|08/07/2019|09:39|08/07/2019|09:39||08/07/2019|07:30|0907||F1||
25|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7851|2019070901|08/07/2019|15:34|08/07/2019|21:06|PPA1|04|CD16|02|||||||||||||PPA1-04|722F-P-P1|08/07/2019|21:06|09/07/2019|09:50||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|28|7||F|08/07/2019|15:34|08/07/2019|09:39|08/07/2019|09:39||08/07/2019|07:30|0907||F1||
26|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7851|2019070901|08/07/2019|15:34|08/07/2019|21:06|PPA1|04|CD16|02|||||||||||||PPA1-04|722F-P-P1|08/07/2019|21:06|09/07/2019|09:50||3|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|4|1||F|08/07/2019|15:34|08/07/2019|09:39|08/07/2019|09:39||08/07/2019|07:30|0907||F1||
27|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7851|2019070901|08/07/2019|15:34|08/07/2019|21:06|PPA1|04|CD16|02|||||||||||||PPA1-04|722F-P-P1|08/07/2019|21:06|09/07/2019|09:50||4|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|4|1||F|08/07/2019|15:34|08/07/2019|09:39|08/07/2019|09:39||08/07/2019|07:30|0907||F1||
28|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7851|2019070901|08/07/2019|15:34|08/07/2019|21:06|PPA1|04|CD16|02|||||||||||||PPA1-04|722F-P-P1|08/07/2019|21:06|09/07/2019|09:50||5|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|SA.R -  13|4|4|1||F|08/07/2019|15:34|08/07/2019|09:39|08/07/2019|09:39||08/07/2019|07:30|0907||F1||
29|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7851|2019070901|08/07/2019|15:34|08/07/2019|21:06|PPA1|04|CD16|02|||||||||||||PPA1-04|722F-P-P1|08/07/2019|21:06|09/07/2019|09:50||6|86120-0KA42-00|RECEIVER ASSY  RADIO|V883|SA.R -  14|4|4|1||F|08/07/2019|15:34|08/07/2019|09:39|08/07/2019|09:39||08/07/2019|07:30|0907||F1||
30|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8605|2019070901|08/07/2019|15:50|08/07/2019|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|08/07/2019|20:35|09/07/2019|07:30||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|24|6||F|08/07/2019|15:50|08/07/2019|11:40|08/07/2019|11:40||08/07/2019|07:30|0907||F1||
31|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8605|2019070901|08/07/2019|15:50|08/07/2019|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|08/07/2019|20:35|09/07/2019|07:30||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||F|08/07/2019|15:50|08/07/2019|11:40|08/07/2019|11:40||08/07/2019|07:30|0907||F1||
32|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8605|2019070901|08/07/2019|15:50|08/07/2019|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|08/07/2019|20:35|09/07/2019|07:30||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|8|2||F|08/07/2019|15:50|08/07/2019|11:40|08/07/2019|11:40||08/07/2019|07:30|0907||F1||
33|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8605|2019070901|08/07/2019|15:50|08/07/2019|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|08/07/2019|20:35|09/07/2019|07:30||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|8|2||F|08/07/2019|15:50|08/07/2019|11:40|08/07/2019|11:40||08/07/2019|07:30|0907||F1||
34|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8605|2019070901|08/07/2019|15:50|08/07/2019|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|08/07/2019|20:35|09/07/2019|07:30||5|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|4|1||F|08/07/2019|15:50|08/07/2019|11:40|08/07/2019|11:40||08/07/2019|07:30|0907||F1||
35|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7852|2019070902|09/07/2019|03:31|09/07/2019|09:06|PPA1|08|CD16|01|||||||||||||PPA1-08|722F-P-P1|09/07/2019|09:06|09/07/2019|13:43||1|86100-0K144-00|RECEIVER ASSY  RADIO & NAVIGATION|B036|SA.R -  12|4|4|1||F|09/07/2019|03:31|08/07/2019|21:36|08/07/2019|21:36||08/07/2019|07:30|0907||F1||
36|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7852|2019070902|09/07/2019|03:31|09/07/2019|09:06|PPA1|08|CD16|01|||||||||||||PPA1-08|722F-P-P1|09/07/2019|09:06|09/07/2019|13:43||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|60|15||F|09/07/2019|03:31|08/07/2019|21:36|08/07/2019|21:36||08/07/2019|07:30|0907||F1||
37|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7852|2019070902|09/07/2019|03:31|09/07/2019|09:06|PPA1|08|CD16|01|||||||||||||PPA1-08|722F-P-P1|09/07/2019|09:06|09/07/2019|13:43||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|SA.R -  12|4|4|1||F|09/07/2019|03:31|08/07/2019|21:36|08/07/2019|21:36||08/07/2019|07:30|0907||F1||
38|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7852|2019070902|09/07/2019|03:31|09/07/2019|09:06|PPA1|08|CD16|01|||||||||||||PPA1-08|722F-P-P1|09/07/2019|09:06|09/07/2019|13:43||4|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|4|1||F|09/07/2019|03:31|08/07/2019|21:36|08/07/2019|21:36||08/07/2019|07:30|0907||F1||
39|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8606|2019070902|08/07/2019|15:50|08/07/2019|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|08/07/2019|20:35|09/07/2019|09:57||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|48|12||F|08/07/2019|15:50|08/07/2019|11:40|08/07/2019|11:40||08/07/2019|07:30|0907||F1||
40|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8606|2019070902|08/07/2019|15:50|08/07/2019|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|08/07/2019|20:35|09/07/2019|09:57||2|86120-0KA11-00|RECEIVER ASSY RADIO|E396|IP1  - A07|4|4|1||F|08/07/2019|15:50|08/07/2019|11:40|08/07/2019|11:40||08/07/2019|07:30|0907||F1||
41|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8606|2019070902|08/07/2019|15:50|08/07/2019|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|08/07/2019|20:35|09/07/2019|09:57||3|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||F|08/07/2019|15:50|08/07/2019|11:40|08/07/2019|11:40||08/07/2019|07:30|0907||F1||
42|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8606|2019070902|08/07/2019|15:50|08/07/2019|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|08/07/2019|20:35|09/07/2019|09:57||4|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|4|1||F|08/07/2019|15:50|08/07/2019|11:40|08/07/2019|11:40||08/07/2019|07:30|0907||F1||
43|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8606|2019070902|08/07/2019|15:50|08/07/2019|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|08/07/2019|20:35|09/07/2019|09:57||5|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|08/07/2019|15:50|08/07/2019|11:40|08/07/2019|11:40||08/07/2019|07:30|0907||F1||
44|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8606|2019070902|08/07/2019|15:50|08/07/2019|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|08/07/2019|20:35|09/07/2019|09:57||6|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|8|2||F|08/07/2019|15:50|08/07/2019|11:40|08/07/2019|11:40||08/07/2019|07:30|0907||F1||
45|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7853|2019070903|09/07/2019|03:31|09/07/2019|09:06|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|09/07/2019|09:06|09/07/2019|16:56||1|86100-0K144-00|RECEIVER ASSY  RADIO & NAVIGATION|B036|SA.R -  12|4|4|1||F|09/07/2019|03:31|08/07/2019|21:36|08/07/2019|21:36||08/07/2019|07:30|0907||F1||
