14|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8466|2019061702|15/06/2019|15:20|17/06/2019|08:30|PSA|05|PD02|01|||||||||||||PSA-05|722B-S-S1|17/06/2019|08:30|17/06/2019|10:43||5|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|8|2||F|15/06/2019|15:20|15/06/2019|11:10|15/06/2019|11:10||14/06/2019|07:30|1706||||
15|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7734|2019061703|15/06/2019|15:31|17/06/2019|09:06|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|17/06/2019|09:06|17/06/2019|16:56||1|86100-0K144-00|RECEIVER ASSY  RADIO & NAVIGATION|B036|SA.R -  12|4|8|2||F|15/06/2019|15:31|15/06/2019|09:36|15/06/2019|09:36||14/06/2019|07:30|1706||F1||
16|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7734|2019061703|15/06/2019|15:31|17/06/2019|09:06|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|17/06/2019|09:06|17/06/2019|16:56||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|52|13||F|15/06/2019|15:31|15/06/2019|09:36|15/06/2019|09:36||14/06/2019|07:30|1706||F1||
17|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7734|2019061703|15/06/2019|15:31|17/06/2019|09:06|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|17/06/2019|09:06|17/06/2019|16:56||3|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|4|1||F|15/06/2019|15:31|15/06/2019|09:36|15/06/2019|09:36||14/06/2019|07:30|1706||F1||
18|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7734|2019061703|15/06/2019|15:31|17/06/2019|09:06|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|17/06/2019|09:06|17/06/2019|16:56||4|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|8|2||F|15/06/2019|15:31|15/06/2019|09:36|15/06/2019|09:36||14/06/2019|07:30|1706||F1||
19|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8467|2019061703|15/06/2019|15:20|17/06/2019|08:30|PSA|08|PD02|01|||||||||||||PSA-08|722B-S-S1|17/06/2019|08:30|17/06/2019|14:00||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|48|12||F|15/06/2019|15:20|15/06/2019|11:10|15/06/2019|11:10||14/06/2019|07:30|1706||||
20|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8467|2019061703|15/06/2019|15:20|17/06/2019|08:30|PSA|08|PD02|01|||||||||||||PSA-08|722B-S-S1|17/06/2019|08:30|17/06/2019|14:00||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||F|15/06/2019|15:20|15/06/2019|11:10|15/06/2019|11:10||14/06/2019|07:30|1706||||
21|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8467|2019061703|15/06/2019|15:20|17/06/2019|08:30|PSA|08|PD02|01|||||||||||||PSA-08|722B-S-S1|17/06/2019|08:30|17/06/2019|14:00||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|8|2||F|15/06/2019|15:20|15/06/2019|11:10|15/06/2019|11:10||14/06/2019|07:30|1706||||
22|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8467|2019061703|15/06/2019|15:20|17/06/2019|08:30|PSA|08|PD02|01|||||||||||||PSA-08|722B-S-S1|17/06/2019|08:30|17/06/2019|14:00||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|15/06/2019|15:20|15/06/2019|11:10|15/06/2019|11:10||14/06/2019|07:30|1706||||
23|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8467|2019061703|15/06/2019|15:20|17/06/2019|08:30|PSA|08|PD02|01|||||||||||||PSA-08|722B-S-S1|17/06/2019|08:30|17/06/2019|14:00||5|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|8|2||F|15/06/2019|15:20|15/06/2019|11:10|15/06/2019|11:10||14/06/2019|07:30|1706||||
24|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7735|2019061704|15/06/2019|15:31|17/06/2019|09:06|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|17/06/2019|09:06|17/06/2019|21:50||1|86100-0K144-00|RECEIVER ASSY  RADIO & NAVIGATION|B036|SA.R -  12|4|4|1||F|15/06/2019|15:31|15/06/2019|09:36|15/06/2019|09:36||14/06/2019|07:30|1706||F1||
25|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7735|2019061704|15/06/2019|15:31|17/06/2019|09:06|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|17/06/2019|09:06|17/06/2019|21:50||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|32|8||F|15/06/2019|15:31|15/06/2019|09:36|15/06/2019|09:36||14/06/2019|07:30|1706||F1||
26|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7735|2019061704|15/06/2019|15:31|17/06/2019|09:06|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|17/06/2019|09:06|17/06/2019|21:50||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|SA.R -  12|4|4|1||F|15/06/2019|15:31|15/06/2019|09:36|15/06/2019|09:36||14/06/2019|07:30|1706||F1||
27|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7735|2019061704|15/06/2019|15:31|17/06/2019|09:06|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|17/06/2019|09:06|17/06/2019|21:50||4|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|4|1||F|15/06/2019|15:31|15/06/2019|09:36|15/06/2019|09:36||14/06/2019|07:30|1706||F1||
28|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7735|2019061704|15/06/2019|15:31|17/06/2019|09:06|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|17/06/2019|09:06|17/06/2019|21:50||5|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|SA.R -  13|4|4|1||F|15/06/2019|15:31|15/06/2019|09:36|15/06/2019|09:36||14/06/2019|07:30|1706||F1||
29|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8468|2019061704|15/06/2019|15:20|17/06/2019|08:30|PSA|11|PD02|01|||||||||||||PSA-11|722B-S-S1|17/06/2019|08:30|17/06/2019|16:28||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|28|7||F|15/06/2019|15:20|15/06/2019|11:10|15/06/2019|11:10||14/06/2019|07:30|1706||||
30|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8468|2019061704|15/06/2019|15:20|17/06/2019|08:30|PSA|11|PD02|01|||||||||||||PSA-11|722B-S-S1|17/06/2019|08:30|17/06/2019|16:28||2|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|8|2||F|15/06/2019|15:20|15/06/2019|11:10|15/06/2019|11:10||14/06/2019|07:30|1706||||
31|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8468|2019061704|15/06/2019|15:20|17/06/2019|08:30|PSA|11|PD02|01|||||||||||||PSA-11|722B-S-S1|17/06/2019|08:30|17/06/2019|16:28||3|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|8|2||F|15/06/2019|15:20|15/06/2019|11:10|15/06/2019|11:10||14/06/2019|07:30|1706||||
32|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8468|2019061704|15/06/2019|15:20|17/06/2019|08:30|PSA|11|PD02|01|||||||||||||PSA-11|722B-S-S1|17/06/2019|08:30|17/06/2019|16:28||4|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|4|1||F|15/06/2019|15:20|15/06/2019|11:10|15/06/2019|11:10||14/06/2019|07:30|1706||||
33|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7737|2019061705|17/06/2019|15:34|17/06/2019|21:06|PPA1|20|CD16|02|||||||||||||PPA1-20|722F-P-P1|17/06/2019|21:06|18/06/2019|01:43||1|86100-0K144-00|RECEIVER ASSY  RADIO & NAVIGATION|B036|SA.R -  12|4|8|2||F|17/06/2019|15:34|17/06/2019|09:39|17/06/2019|09:39||17/06/2019|07:30|1706||F1||
34|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7737|2019061705|17/06/2019|15:34|17/06/2019|21:06|PPA1|20|CD16|02|||||||||||||PPA1-20|722F-P-P1|17/06/2019|21:06|18/06/2019|01:43||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|48|12||F|17/06/2019|15:34|17/06/2019|09:39|17/06/2019|09:39||17/06/2019|07:30|1706||F1||
35|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7737|2019061705|17/06/2019|15:34|17/06/2019|21:06|PPA1|20|CD16|02|||||||||||||PPA1-20|722F-P-P1|17/06/2019|21:06|18/06/2019|01:43||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|SA.R -  12|4|4|1||F|17/06/2019|15:34|17/06/2019|09:39|17/06/2019|09:39||17/06/2019|07:30|1706||F1||
36|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7737|2019061705|17/06/2019|15:34|17/06/2019|21:06|PPA1|20|CD16|02|||||||||||||PPA1-20|722F-P-P1|17/06/2019|21:06|18/06/2019|01:43||4|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|4|1||F|17/06/2019|15:34|17/06/2019|09:39|17/06/2019|09:39||17/06/2019|07:30|1706||F1||
37|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7737|2019061705|17/06/2019|15:34|17/06/2019|21:06|PPA1|20|CD16|02|||||||||||||PPA1-20|722F-P-P1|17/06/2019|21:06|18/06/2019|01:43||5|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|4|1||F|17/06/2019|15:34|17/06/2019|09:39|17/06/2019|09:39||17/06/2019|07:30|1706||F1||
38|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7737|2019061705|17/06/2019|15:34|17/06/2019|21:06|PPA1|20|CD16|02|||||||||||||PPA1-20|722F-P-P1|17/06/2019|21:06|18/06/2019|01:43||6|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|SA.R -  13|4|4|1||F|17/06/2019|15:34|17/06/2019|09:39|17/06/2019|09:39||17/06/2019|07:30|1706||F1||
