EFFNT06627	8980529370	20151113	3	S7	3	1100	SR
EFFNT06628	8980529400	20151113	28	S7	15	800	SR
EFFNT06629	8980529410	20151113	15	S7	5	800	SR
EFFNT06630	8980529420	20151113	28	S7	30	310	SR
EFFNT06631	8980647040	20151113	14	S7	15	310	SR
EFFNT06632	8982413582	20151113	6	S7	3	800	SR
EFFNT06633	8982436022	20151113	5	S7	3	800	SR
EFFN216724	8980529370	20151112	30	S7	3	1510	SR
EFFN216725	8980529370	20151113	30	S7	3	310	SR
EFFN216726	8980529370	20151113	27	S7	3	800	SR
EFFN216727	8980529400	20151112	30	S7	15	1510	SR
EFFN216728	8980529400	20151113	30	S7	15	310	SR
EFFN216729	8980529410	20151112	15	S7	5	1510	SR
EFFN216730	8980529420	20151112	30	S7	30	1510	SR
EFFN216731	8980647040	20151112	15	S7	15	1510	SR
EFFN216732	8982413582	20151112	3	S7	3	1510	SR
EFFN216733	8982436022	20151112	9	S7	3	1510	SR
EFFN216734	8982436022	20151113	6	S7	3	310	SR
